Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Курьер Яндекс. Еда,76000— 130000 руб.,"['ответственность', 'внимательность', 'доставка заказов']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШАТРОВА КРИСТИНА АЛЕКСАНДРОВНА,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50255029/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Мастер по ремонту бытовой техники,60000— 120000 руб.,"['клиентоориентированность', 'общение с клиентами', 'ремонт бытовой техники', 'работа в условиях многозадачности', 'Внимательность, ответственность', 'Умение работать, общаться с клиентами']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДЕНИСЕНКОВА МАРИНА ЛЕОНИДОВНА,"['Уралмаш,', 'Машиностроителей']","Уралмаш, Машиностроителей,г Екатеринбург, ул Машиностроителей, д 41",Екатеренбург,,Мастер по ремонту,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/50437980/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Мастер производственного обучения,70000— 80000 руб.,"['ответственность', 'пунктуальность', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'техника безопасности', 'проведение инструктажей']",['Пенсионерам'],"ООО ""УЦ ОСНОВА""",['Уральская'],"Уральская,г Екатеринбург, ул Основинская, стр 10",Екатеренбург,Работа на производстве,Мастер производства,опыт работы от 3 лет,образование любое,https://eburg.rabota.ru/vacancy/50417429/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор в пункт выдачи заказов,от 33000 руб.,"['ответственность', 'коммуникабельность', 'доброжелательность', 'приемка товара']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЦЕЛИЩЕВ ЕВГЕНИЙ ВЛАДИМИРОВИЧ,['Уральская'],"Уральская,г Екатеринбург, Полимерный пер, д 13",Екатеренбург,Администратор,Администратор пункта выдачи заказов,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/49555044/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Кассир в столовую,52500— 55000 руб.,"['работа на кассе', 'безналичный расчет', 'обслуживание покупателей', 'общепит']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БОЖЕНОВ МАКСИМ РОМАНОВИЧ,['Чкаловская'],"Чкаловская,г Екатеринбург, ул Цвиллинга, д 6",Екатеренбург,Кассир,Кассир столовой,опыт работы от 3 лет,образование среднее,https://eburg.rabota.ru/vacancy/54225916/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Делопроизводитель (специалист по работе с документами),от 45000 руб.,"['пунктуальность', 'исполнительность', 'усидчивость', 'грамотная речь', 'обучаемость', '1C', 'сканирование', 'регистрация входящей и исходящей документации', 'ведение электронного документооборота', 'архивирование документов']",[],"ООО ""ОВК""",[],"г Екатеринбург, ул Совхозная, стр 20, помещ 101",Екатеренбург,Работа в офисе,Делопроизводитель,опыт работы от 1 года,образование неполное высшее,https://eburg.rabota.ru/vacancy/52617866/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Бухгалтер первички,от 60000 руб.,"['бухгалтерский учет', '1С:Бухгалтерия', 'бухгалтерское законодательство', 'составление авансовых отчетов', 'расчет с подотчетными лицами', 'Банк-клиент', 'составление актов сверок', 'ведение первичной документации', 'учет товарно-материальных ценностей']",['Студентам'],"ООО ""ГРОССБУХ""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, Верх-Исетский б-р, д 13В",Екатеренбург,Работа в бухгалтерии,Бухгалтер,опыт работы от 1 года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/50150841/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Бухгалтер первичной документации,50000— 60000 руб.,"['составление актов сверок', 'ведение первичной документации', 'взаиморасчеты с контрагентами', 'ведение бухгалтерского учета']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВАСИЛЬЕВ ИВАН ИГОРЕВИЧ,['Уралмаш'],"Уралмаш,г Екатеринбург, пр-кт Космонавтов, д 54",Екатеренбург,Работа в бухгалтерии,Бухгалтер,опыт работы от 1 года,образование среднее профессиональное,https://eburg.rabota.ru/vacancy/53849085/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Администратор медицинского центра,от 54000 руб.,"['работа с документами', 'Кассовые документы', 'Деловое общение', 'Навыки межличностного общения', 'прием посетителей', 'оформление документации']",[],"ООО ""СИЛУЭТ""",['Чкаловская'],"Чкаловская,г Екатеринбург, ул Циолковского, д 57",Екатеренбург,Администратор,Администратор на ресепшн,опыт работы не имеет значения,образование любое,https://eburg.rabota.ru/vacancy/53360965/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
Кондитер,70000— 90000 руб.,"['изготовление тортов', 'приготовление кондитерских изделий', 'приготовление выпечки', 'работа с шоколадом', 'изготовление пирожных', 'приготовление десертов', 'работа с кремами', 'приготовление слоеного теста', 'приготовление бисквитного теста', 'приготовление полуфабрикатов', 'оформление кондитерских изделий', 'работа с технологическими картами']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЛЕВИНА ОЛЬГА ВЯЧЕСЛАВОВНА,[],г Екатеринбург,Екатеренбург,Работа в ресторанах,,опыт работы от 1 года,образование любое,https://eburg.rabota.ru/vacancy/52828419/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5
