Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка
Менеджер по работе с клиентами,55000— 78000 руб.,"['ведение клиентской базы', 'CRM-система', 'консультирование']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КУБЫШКИНА ЯНА АЛЕКСЕЕВНА,['Аэропорт'],"Аэропорт,г Москва, Ленинградский пр-кт, д 39 стр 79",Москва,Менеджер по работе с клиентами,Менеджер по работе с клиентами дома,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/53846597/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Бармен в ресторан,120000— 189000 руб.,"['пунктуальность', 'грамотная речь', 'обучаемость', 'проведение инвентаризаций', 'общение с клиентами', 'стандарты сервиса', 'R-Keeper', 'обслуживание гостей', 'приготовление коктейлей', 'приготовление напитков', 'консультирование гостей', 'приготовление кофе', 'составление коктейльной карты', 'работа за барной стойкой']",['Студентам'],"ООО ""СВЕТ""","['Театральная,', 'Охотный ряд']","Театральная, Охотный ряд,г Москва, ул Охотный Ряд",Москва,Работа в ресторанах,Бармен,опыт работы Без опыта,образование любое,https://www.rabota.ru/vacancy/53845270/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер проектов,80000— 200000 руб.,['проектирование в мебельной программе'],[],ИП Мишуров Владимир Павлович,['Профсоюзная'],"Профсоюзная,г Москва, Нахимовский пр-кт, д 24",Москва,Руководитель,Руководитель проекта,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53838180/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Кладовщик-комплектовщик,по договоренности,"['работа склада', 'комплектация товара', 'сбор заказов', 'отпуск товара со склада', 'упаковка товара']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БАЛЬДЯСОВА ЕЛЕНА ИВАНОВНА,['Шоссе Энтузиастов'],"Шоссе Энтузиастов,г Москва, ул Плеханова, д 15",Москва,Работа на складах,Комплектовщик,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53775757/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Оператор-приемщик заказов (ОЗОН),40000— 100000 руб.,"['ответственность', 'пунктуальность', 'внимательность', 'стрессоустойчивость', 'обучаемость', 'проведение инвентаризаций', 'выкладка товара', 'приемка товара', 'складской учет', 'учет товарно-материальных ценностей', 'учет товара', 'работа склада', 'прием товара', 'отгрузка товара', 'распределение товара', 'комплектация товара', 'сбор заказов', 'отпуск товара со склада', 'ведение складской документации', 'упаковка товара', 'работа с заказами', 'дружелюбность']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ВОЛКОВ ПАВЕЛ ВЯЧЕСЛАВОВИЧ,['Перерва'],"Перерва,г Москва, ул Перерва, д 16",Москва,Работа в офисе,Диспетчер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/51569299/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Клиентский менеджер,по договоренности,"['пунктуальность', 'грамотная речь', 'сопровождение клиентов', 'Умение вести переписку', 'успешная коммуникация']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ БАБАЙКИНА ТАТЬЯНА НИКОЛАЕВНА,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/50148540/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Секретарь,от 80000 руб.,"['ответственность', 'пунктуальность', 'исполнительность', 'внимательность', 'умение работать в режиме многозадачности', 'стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'доброжелательность', 'MS Office  Excel', 'MS Office Word', 'ведение документооборота', 'работа с мини-АТС', 'прием входящих звонков', '1C', 'телефонные переговоры', 'работа с документами', 'обработка данных', 'исходящие звонки', 'регистрация входящей и исходящей документации', 'выполнение поручений', 'общение по телефону', '1С:Документооборот', 'Электронная почта', 'Документооборот', 'пользователь ПК', 'Грамотная устная и письменная речь']",['Быстрый отклик'],ООО Ск Фасад и кровля,"['Владыкино,', 'Владыкино']","Владыкино, Владыкино,г Москва, Сигнальный проезд, д 9А стр 1",Москва,Работа в офисе,Делопроизводитель,опыт работы не имеет значения,образование среднее профессиональное,https://www.rabota.ru/vacancy/35008123/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по продажам строительных материалов (удаленно),50000— 100000 руб.,"['поиск и привлечение клиентов', 'активные продажи', 'выполнение плана продаж']",[],"ООО ""БАРКЛАЙН""",['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в торговле,Менеджер по продажам,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/49727917/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Упаковщик,50000— 70000 руб.,"['ответственность', 'внимательность', 'добросовестность', 'умение работать в команде', 'обучаемость', 'честность', 'комплектация товара', 'упаковка товара', 'маркировка', 'укладка', 'сортировка', 'упаковка продукции', 'фасовка продукции']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТАРБАЕВА НАТАЛЬЯ АЛЕКСЕЕВНА,['Битца'],"Битца,г Москва, метро Битца",Москва,Работа на складах,Упаковщик,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/49018563/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель на газель,75000 руб.,[],"['Пенсионерам', 'Людям с инвалидностью']","ООО ""ИНТЕРКЛИНТОРГ""",['Преображенская площадь'],"Преображенская площадь,г Москва, ул Краснобогатырская",Москва,Работа на транспорте,Водитель,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/54247381/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Дизайнер по шторам / Декоратор по шторам и текстилю,140000— 350000 руб.,"['ответственность', 'креативность', 'стрессоустойчивость', 'ведение переговоров', 'MS Office Word', 'продажи', 'создание эскизов', 'создание иллюстраций', 'подбор тканей']",['Быстрый отклик'],"ООО ""НАТАЛИС АРТ""",['Крылатское'],"Крылатское,г Москва, Рублёвское шоссе, д 52А",Москва,Работа в сфере дизайна,Дизайнер,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/54238733/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор стоматологической клиники,90000— 120000 руб.,[],[],ООО Ортофис,[],"г Москва, Наставнический пер, д 17 стр 1",Москва,Администратор,Администратор на ресепшн,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53782738/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по продажам,25000— 300000 руб.,"['стрессоустойчивость', 'грамотная речь', 'умение работать в команде', 'обучаемость', 'вежливость', 'поиск и привлечение клиентов', '1С', 'ведение клиентской базы', '1C', 'техника продаж', 'активные продажи', 'выполнение плана продаж', 'ведение заказов', 'исходящие звонки', 'сопровождение сделки', 'поддержание клиентской базы', 'пользователь ПК', 'Навыки продаж']",['Студентам'],"ООО ""ГРУППА КОМПАНИЙ ""ЗОЛОТОЙ ДОМ""",[],"г Москва, ул Ленинская Слобода, д 26",Москва,Работа в торговле,,опыт работы не имеет значения,образование неполное высшее,https://www.rabota.ru/vacancy/52621882/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Дизайнер-печатник,от 100000 руб.,"['Adobe Illustrator', 'Adobe Photoshop', 'CorelDraw', 'графический дизайн', 'дизайн полиграфической продукции']",[],ИП Зуев Александр Владимирович,['Кожуховская'],"Кожуховская,г Москва, 2-й Южнопортовый проезд",Москва,Работа на производстве,Мастер производства,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/52314008/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по продажам,100000— 200000 руб.,"['стрессоустойчивость', 'проведение презентаций', 'общение с клиентами', 'выполнение плана продаж']",[],ООО Алтуфьево Фит,"['Отрадное,', 'Владыкино,', 'Окружная,', 'Владыкино,', 'Окружная,', 'Дегунино']","Отрадное, Владыкино, Окружная, Владыкино, Окружная, Дегунино,г Москва, Алтуфьевское шоссе, д 18А",Москва,Работа в торговле,,опыт работы Без опыта,образование любое,https://www.rabota.ru/vacancy/52285123/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Заместитель генерального директора по вооружению и работе с ОЛРР,120000— 150000 руб.,"['ответственность', 'пунктуальность', 'исполнительность', 'добросовестность', 'коммуникабельность', 'знание делового этикета', 'обучаемость', 'уверенный пользователь ПК', 'ведение документооборота', 'ведение деловой переписки', 'работа с оргтехникой', 'проведение собеседований', 'работа с документами', 'руководство коллективом', 'оформление заявок', 'оформление приказов', 'взаимодействие с правоохранительными органами', 'оформление документов']",[],"ООО ЧОО ""ОРИОН""",[],"г Москва, ул Дубининская, д 53 стр 5",Москва,Директор,Заместитель директора,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/52222114/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Начинающий специалист отдела по работе с клиентами,55000— 70000 руб.,['оформление документов'],"['Быстрый отклик', 'Студентам']",ООО СМ знак,['Молодежная'],"Молодежная,г Москва, ул Ярцевская, д 19",Москва,,,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/47101148/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Агент по жилой недвижимости,от 150000 руб.,"['ответственность', 'коммуникабельность', 'обучаемость', 'заключение договоров', 'ведение переговоров', 'MS Office Word', 'поиск и привлечение клиентов', 'консультирование клиентов', 'общение с клиентами', 'активные продажи', 'поддержание клиентской базы', 'сопровождение клиентов', 'показы объектов', 'поиск клиентов', 'поиск объектов недвижимости']",[],"ООО ""ДУША СТОЛИЦЫ""",['Окская'],"Окская ,г Москва, ул Михайлова, д 30А к 4",Москва,Работа в сфере недвижимости,Риэлтор,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/54210332/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Помощник юриста,20000— 25000 руб.,"['грамотная речь', 'договорная работа', 'гражданское право', 'составление правовых документов']",['Студентам'],"ООО ""АЛЭД""","['Окружная,', 'Окружная']","Окружная, Окружная,г Москва, Нововладыкинский проезд, д 6Б стр 1",Москва,Работа в юриспруденции,Юрист,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/48891012/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор клининга,от 100000 руб.,"['ответственность', 'пунктуальность', 'высокая работоспособность', 'коммуникабельность', 'стрессоустойчивость', 'обучаемость', 'обучение персонала', 'работа с документами', 'контроль за выполнением работ', 'работа с возражениями', 'Готова обучаться новому']",[],"ООО ""Мир Сити Групп""",['Текстильщики'],"Текстильщики,г Москва, Волгоградский пр-кт, д 43 к 3",Москва,Работа в сфере бытовых услуг,Менеджер по клинингу,опыт работы от 1 года,образование среднее,https://www.rabota.ru/vacancy/54244946/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Производитель работ,от 160000 руб.,"['ведение табеля учета рабочего времени', 'техника безопасности', 'ведение журналов', 'работа с проектно-сметной документацией', 'строительно-монтажные работы', 'руководство бригадой', 'контроль качества выполненных работ']",[],"ООО ""ПК СТРОЙИНЖИНИРИНГ""",['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в строительстве,Прораб,опыт работы от 3 лет,образование среднее профессиональное,https://www.rabota.ru/vacancy/54242171/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Пеший курьер по доставке документов,по договоренности,['доставка документов'],"['Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАХАРОВ РОМАН РУСЛАНОВИЧ,['Тимирязевская'],"Тимирязевская,г Москва, Дмитровское шоссе, д 11А",Москва,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование среднее,https://www.rabota.ru/vacancy/54228863/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по продажам спецтехники,100000— 300000 руб.,[],['Быстрый отклик'],"ООО ""ТРАКХАБ""",['Нагатинская'],"Нагатинская,г Москва, Варшавское шоссе, д 42",Москва,Работа в торговле,Менеджер по продажам,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/54224441/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Пеший курьер по доставке документов,80000— 135000 руб.,"['ответственность', 'пунктуальность', 'доставка документов', 'выполнение поручений']","['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']","ООО ""ШЭЛМЭР""",['Выставочная'],"Выставочная,г Москва, Пресненская наб, д 2",Москва,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/54223700/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель на грузовик 5т (шторный тент),130000— 170000 руб.,"['ответственность', 'аккуратность', 'правила дорожного движения', 'Умение общаться с заказчиками', 'права категории С']",['Быстрый отклик'],"ООО ""МАРИВАСТРОЙПЛЮС""",['Братиславская'],"Братиславская,г Москва, ул Перерва",Москва,Работа на транспорте,Водитель,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/54216897/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Экспедитор документации,90000— 135000 руб.,"['пунктуальность', 'перевозка грузов', 'сопровождение груза', 'доставка документов', 'доставка заказов', 'выполнение поручений', 'знание города']",['Людям с инвалидностью'],"ООО ""ЛАБЕРТ МУД""","['Белорусская,', 'Улица 1905 года,', 'Белорусская,', 'Белорусская']","Белорусская, Улица 1905 года, Белорусская, Белорусская,г Москва, ул Пресненский Вал",Москва,,,опыт работы Без опыта,образование любое,https://www.rabota.ru/vacancy/53919041/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Менеджер по продажам,50000— 150000 руб.,[],[],"ООО ""АРТ-ПОЛИГРАФИЯ""",[],"г Москва, проезд 3-й Перова Поля, д 4А",Москва,Работа в торговле,,опыт работы Без опыта,образование любое,https://www.rabota.ru/vacancy/53909720/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Курьер по доставке документов,90000— 115000 руб.,"['пунктуальность', 'доставка документов', 'выполнение поручений', 'знание города']","['Студентам', 'Людям с инвалидностью']",ООО Корса,"['Бульвар Дмитрия Донского,', 'Улица Старокачаловская']","Бульвар Дмитрия Донского, Улица Старокачаловская,г Москва, ул Грина, двлд 15Б, помещ 5/1",Москва,Работа в сфере доставки,Курьер,опыт работы от 1 года,образование среднее,https://www.rabota.ru/vacancy/53907869/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Кладовщик,90000— 100000 руб.,"['прием товара', 'отгрузка товара', 'распределение товара', 'складирование']",[],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ НАСИБЯН ГАГИК ГАРНИКОВИЧ,['Кожуховская'],"Кожуховская,г Москва, 2-й Южнопортовый проезд, д 12Г",Москва,Работа на складах,Кладовщик,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53885801/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор медицинского центра,90000— 100000 руб.,"['пунктуальность', 'исполнительность', 'грамотная речь', 'доброжелательность', 'вежливость', 'разрешение конфликтных ситуаций', 'консультирование клиентов', 'работа на кассе', 'кассовые операции', 'общение с клиентами', 'прием входящих звонков', 'запись на прием', 'встреча пациентов', 'ведение клиентской базы', 'исходящие звонки']",[],"ООО ""КЛИНИКА ОСТЕОПАТИИ""",['Таганская'],"Таганская,г Москва, ул Земляной Вал, д 64 стр 2",Москва,Администратор,Администратор на ресепшн,опыт работы от 1 года,образование среднее профессиональное,https://www.rabota.ru/vacancy/53884886/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Кладовщик-комплектовщик на склад (Яндекс.Маркет),80000— 160000 руб.,"['прием товара', 'комплектация товара', 'сбор заказов']",[],ИП Паланто Марина Вениаминовна,['Площадь Революции'],"Площадь Революции,г Москва",Москва,,,не имеет значения,любое,https://www.rabota.ru/vacancy/53843994/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Инженер по обслуживанию оборудования,100000— 250000 руб.,['Английский — A2 — Элементарный'],['Людям с инвалидностью'],"ООО ""СПИ ПРОМЫШЛЕННАЯ МАРКИРОВКА""",['Тропарево'],"Тропарево,г Москва, ул Островитянова, д 7",Москва,Сервисный инженер,Инженер по оборудованию,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/53833518/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Оператор-диспетчер,27000— 30000 руб.,['работа с людьм'],['Пенсионерам'],"ТСЖ ""РАПСОДИЯ-7""",[],"г Москва, ул Полоцкая, д 3",Москва,Работа в офисе,Диспетчер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/53825589/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Помощник бухгалтера,по договоренности,"['налоговый учет', 'ОСНО', 'кадровое делопроизводство', 'кадровый учет', 'составление актов сверок', 'ведение первичной документации', 'ведение всех участков', 'взаиморасчеты с контрагентами']",[],"ООО ""АНТАВР""","['Белорусская,', 'Белорусская,', 'Белорусская']","Белорусская, Белорусская, Белорусская,г Москва, ул Скаковая",Москва,Работа в бухгалтерии,Бухгалтер,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/53820242/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Программист 1С,от 30000 руб.,"['техническая поддержка', 'доработка конфигураций 1С', 'администрирование 1С', 'разработка нетиповых конфигураций 1С']",[],ООО Милиса,"['Улица Горчакова,', 'Бутово']","Улица Горчакова, Бутово,г Москва, ул Южнобутовская, д 58 к 1",Москва,Работа в сфере IT,Программист,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/53738269/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Бухгалтер-стажер,30000— 50000 руб.,"['MS Office', 'MS Office  Excel', 'MS Office Word', '1С:Предприятие 8', 'работа с первичной документацией', 'взаиморасчеты с контрагентами']",['Студентам'],"ООО ""ГАЛСОФТ""","['Калужская,', 'Воронцовская']","Калужская, Воронцовская,г Москва, Научный проезд, д 6",Москва,Работа в бухгалтерии,Бухгалтер,опыт работы не имеет значения,образование среднее профессиональное,https://www.rabota.ru/vacancy/53726914/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Курьер по доставке документов и посылок (Достависта),80000— 160000 руб.,"['доставка документов', 'доставка заказов']","['Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ГУРИНЕНКО ДЕНИС ИГОРЕВИЧ,['Сколково'],"Сколково,г Москва, тер инновационного центра Сколково, ул Луговая, д 4 к 6",Москва,Работа в сфере доставки,Курьер,опыт работы не имеет значения,образование любое,https://www.rabota.ru/vacancy/53681355/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Комплектовщик-упаковщик,55000— 70000 руб.,"['ответственность', 'комплектация товара', 'упаковка продукции']",[],Индивидуальный предприниматель КРЫЛОВ МАКСИМ АНАТОЛЬЕВИЧ,"['Царицыно,', 'Покровское']","Царицыно, Покровское,г Москва, ул Бирюлёвская, д 9",Москва,Работа на складах,Комплектовщик,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/52395631/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Администратор,62000— 85000 руб.,"['пунктуальность', 'стрессоустойчивость', 'грамотная речь', 'клиентоориентированность', 'обучаемость', 'доброжелательность', 'общение с клиентами', 'стандарты сервиса', 'кассовая дисциплина', 'запись на прием', 'продажа услуг', 'ведение клиентской базы', 'консультирование посетителей', 'исходящие звонки', 'продажи продукта / услуги', 'организация приема посетителей', 'оформление документов']",[],ООО Линия а,"['Черкизовская,', 'Локомотив']","Черкизовская, Локомотив,г Москва, ул Амурская, д 1А к 2",Москва,Администратор,Администратор пункта выдачи заказов,опыт работы от 1 года,образование высшее,https://www.rabota.ru/vacancy/52387207/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
Водитель на газель компании,110000— 160000 руб.,[],[],ИП ЖИДКОБЛИНОВ АРТЕМИЙ СЕРГЕЕВИЧ,['Пражская'],"Пражская,г Москва, р-н Южное Бутово",Москва,Работа на транспорте,Водитель,опыт работы от 1 года,образование любое,https://www.rabota.ru/vacancy/52375014/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5
