,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
8721,Помощник менеджера,от 45000 руб.,"['ответственность', 'умение работать в режиме многозадачности', 'обучаемость']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДОРОНИН ВАДИМ ВАЛЕРЬЕВИЧ,['Уральская'],"Уральская,г Екатеринбург, ул Крупносортщиков, д 14",Екатеренбург,,,без опыта,любое,https://eburg.rabota.ru/vacancy/50272251/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,45000,
8722,Курьер по доставке еды,от 50000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШЕРСТОБИТОВА СВЕТЛАНА СЕРГЕЕВНА,['Геологическая'],"Геологическая,г Екатеринбург, ул Радищева, д 33",Екатеренбург,Работа в сфере доставки,Курьер,без опыта,любое,https://eburg.rabota.ru/vacancy/50245218/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,
8723,Администратор-кассир,48000— 55000 руб.,"['ответственность', 'пунктуальность', 'доброжелательность', 'безналичный расчет', 'общение с клиентами', 'кассовая дисциплина', 'наличный расчет', 'общение по телефону', 'умение продавать']",['Студентам'],"Пиццерия ""КусОк""","['Уральская,', 'Динамо']","Уральская, Динамо,г Екатеринбург, ул Уральская, д 75",Екатеренбург,Администратор,Администратор ресторана,до года,любое,https://eburg.rabota.ru/vacancy/50208946/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,48000,55000
8724,Менеджер по продажам (железнодорожные перевозки),от 70000 руб.,нет,Без тега,"ООО ТСК ""ЛОГИСТИКА""",,"г Екатеринбург, ул Куйбышева, д 44Д",Екатеренбург,Работа в логистике,Логист,от 2 лет,любое,https://eburg.rabota.ru/vacancy/50091631/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,70000,
8725,Ведущий специалист по бухгалтерскому и налоговому учету,от 50000 руб.,"['грамотная речь', '1С:Предприятие 8', 'бухгалтерский учет', '1С:Бухгалтерия', 'работа с клиентами', 'пользователь ПК', 'Работа в команде']",Без тега,"ООО ""БУХГАЛТЕРСКИЙ УЧЁТ БП""",['Ботаническая'],"Ботаническая,г Екатеринбург, ул Крестинского, д 44",Екатеренбург,Консультант,Налоговый консультант,от 5 лет,среднее профессиональное,https://eburg.rabota.ru/vacancy/49406197/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,
8726,Оператор дробильных установок,30000— 40000 руб.,"['ответственность', 'слесарные работы', 'контроль технологического процесса', 'обработка деталей']",Без тега,"ООО ""УЗПЕ""",,"Свердловская обл, г Алапаевск, ул Токарей, д 12",Екатеренбург,Оператор,Оператор станка,без опыта,среднее профессиональное,https://eburg.rabota.ru/vacancy/48267197/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,30000,40000
8727,Парикмахер,60000— 130000 руб.,"['окрашивание волос', 'укладка', 'детская стрижка', 'мужская стрижка', 'тонирование', 'Женские стрижки', 'Окрашивание']",['Быстрый отклик'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СУСЛОВА ЛИДИЯ АЛЕКСЕЕВНА,,"г Екатеринбург, ул Академика Ландау, д 45",Екатеренбург,Работа в сфере красоты,,от 1 года,среднее профессиональное,https://eburg.rabota.ru/vacancy/54249404/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,60000,130000
8728,Менеджер по работе с клиентами,от 60000 руб.,"['развитие клиентской базы', 'ведение клиентской базы', 'подготовка коммерческих предложений', 'увеличение объемов продаж', 'ведение заказов', 'сопровождение сделки', 'продажи продукта / услуги']",Без тега,"ООО ""РЕГИОНСПЕЦСНАБ""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Менеджер по работе с клиентами,,без опыта,среднее профессиональное,https://eburg.rabota.ru/vacancy/53153547/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,60000,
8729,Повар,60000— 120000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МАНСУРОВ РАДИК ХАМИТОВИЧ,['Проспект Космонавтов'],"Проспект Космонавтов,г Екатеринбург, пр-кт Космонавтов, д 108а",Екатеренбург,Работа в ресторанах,,от 1 года,любое,https://eburg.rabota.ru/vacancy/52910177/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,60000,120000
8730,Специалист сервисного центра / Инженер,90000— 150000 руб.,"['клиентоориентированность', 'ремонт ПК', 'телефонные переговоры', 'продажи', '1С:Предприятие 8', 'консультирование', 'Android', 'Работа в команде', 'iPhone']",Без тега,Индивидуальный предприниматель БАЙДУГАНОВ ВЯЧЕСЛАВ ЕВГЕНЬЕВИЧ,,г Екатеринбург,Екатеренбург,Работа на производстве,Сервисный инженер,без опыта,любое,https://eburg.rabota.ru/vacancy/50441435/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,90000,150000
8731,Электромонтажник,от 100000 руб.,"['электромонтажные работы', 'электробезопасность', 'эксплуатация электрооборудования', 'прокладка кабелей']",Без тега,"ООО ""СМП-210""",['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург",Екатеренбург,Монтажник,,от 1 года,любое,https://eburg.rabota.ru/vacancy/50348816/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,100000,
8732,Ассистент стоматолога,40000— 60000 руб.,"['стерилизация инструментов', 'выполнение рентгеновских снимков', 'действующий сертификат по специальности ""Сестринское дело""', 'подготовка кабинета к приему', 'ассистирование врачу', 'ведение медицинской документации', 'генеральная уборка кабинета', 'уборка рабочего места', 'подготовка инструментов', 'выполнение медицинских манипуляций', 'работа в 4 руки']",['Студентам'],"ООО ""ОДНА УЛЫБКА""","['Уральская,', 'Динамо,', 'Площадь 1905 года,', 'Геологическая,', 'Чкаловская,', 'Ботаническая']","Уральская, Динамо, Площадь 1905 года, Геологическая, Чкаловская, Ботаническая,г Екатеринбург, ул Сыромолотова, д 17",Екатеренбург,Работа в сфере медицины,Медицинская сестра,от 1 года,среднее профессиональное,https://eburg.rabota.ru/vacancy/50141104/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,40000,60000
8733,Косметолог-эстетист,по договоренности,"['ответственность', 'обучаемость']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ СЛАВНОВА АЛИНА АНАТОЛЬЕВНА,['Площадь 1905 года'],"Площадь 1905 года,г Екатеринбург, ул Антона Валека, д 15",Екатеренбург,Работа в сфере красоты,Эстетист,без опыта,среднее профессиональное,https://eburg.rabota.ru/vacancy/50081199/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
8734,Продавец обуви,25000— 70000 руб.,"['вежливость', 'консультирование покупателей', 'умение продавать', 'демонстрация товара', 'работа с кассой']",Без тега,ИП Безюкова Наталья Борисовна,,"г Екатеринбург, ул Краснолесья, д 133",Екатеренбург,Работа в торговле,Продавец,от 3 лет,любое,https://eburg.rabota.ru/vacancy/51569609/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,25000,70000
8735,Менеджер по продажам,80000— 150000 руб.,нет,Без тега,"ООО ""ИНТЕХ""",['Ботаническая'],"Ботаническая,г Екатеринбург, ул Крестинского, д 44",Екатеренбург,Работа в торговле,Менеджер по продажам,без опыта,любое,https://eburg.rabota.ru/vacancy/50471652/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D0%B5,80000,150000
