id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
48768988,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Маршала Рыбалко, 5",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.79649,37.493038,https://www.superjob.ru/vakansii/pekar-48768988.html
48772771,Пекарь,81000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Ферганская, 6",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.708042,37.801178,https://www.superjob.ru/vakansii/pekar-48772771.html
48776602,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Люблинская, 108А",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.651234,37.741234,https://www.superjob.ru/vakansii/pekar-48776602.html
48779425,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Неманский, 1",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.815884,37.393982,https://www.superjob.ru/vakansii/pekar-48779425.html
50564823,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Мира, 131",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.832134,37.650551,https://www.superjob.ru/vakansii/pekar-50564823.html
50575062,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Дегунинская, 10",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.865475,37.537647,https://www.superjob.ru/vakansii/pekar-50575062.html
50587764,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Салтыковская, 31",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.739948,37.874542,https://www.superjob.ru/vakansii/pekar-50587764.html
50596624,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Максимова, 18",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.796692,37.464985,https://www.superjob.ru/vakansii/pekar-50596624.html
50598585,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Полярная, 21",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.879421,37.634605,https://www.superjob.ru/vakansii/pekar-50598585.html
50606252,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Юрловский, 13",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.867916,37.62244,https://www.superjob.ru/vakansii/pekar-50606252.html
50614103,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Башиловская, 12",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.797119,37.576996,https://www.superjob.ru/vakansii/pekar-50614103.html
50619653,"Пекарь (Москва, Горбунова, 7)",80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Горбунова, 2",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.72517,37.396282,https://www.superjob.ru/vakansii/pekar-50619653.html
50619655,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Кулакова, 16",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.806934,37.393848,https://www.superjob.ru/vakansii/pekar-50619655.html
50645349,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Тагильская, 3",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.81665,37.757637,https://www.superjob.ru/vakansii/pekar-50645349.html
50706007,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Михалковская, 52",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.838375,37.510826,https://www.superjob.ru/vakansii/pekar-50706007.html
50718284,Пекарь,67000,86000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Прокшинский, 7",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.592007,37.430939,https://www.superjob.ru/vakansii/pekar-50718284.html
50738243,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Таллинская, 26",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.799881,37.407627,https://www.superjob.ru/vakansii/pekar-50738243.html
50741411,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Марии Поливановой, 6",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.678307,37.452999,https://www.superjob.ru/vakansii/pekar-50741411.html
50741521,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Москва,[],[],[],"Москва, Соболевский, 22",2635306,,более 5000,45940.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,55.833809,37.52314,https://www.superjob.ru/vakansii/pekar-50741521.html
50742346,Пекарь,90000,110000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Протопоповский, 38",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.779469,37.643505,https://www.superjob.ru/vakansii/pekar-50742346.html
50742546,Пекарь,80000,100000,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство', 'Продажи']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность', 'Начало карьеры, мало опыта']",Москва,[],[],[],"Москва, Чертановская, 7А",2635306,,более 5000,45940.0,Пятёрочка,От 1 года,Частичная занятость / Совместительство,Не имеет значения,55.630867,37.601357,https://www.superjob.ru/vakansii/pekar-50742546.html
