Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Слаботочник-монтажник,до 80000 руб.,"['чтение электросхем', 'чтение чертежей', 'слаботочные системы', 'пусконаладочные работы', 'электромонтажные работы', 'настройка оборудования', 'электрооборудование', 'обслуживание электрооборудования', 'прокладка кабелей', 'строительно-монтажные работы', 'работа с электроинструментом', 'монтаж кабельной разводки', 'монтаж', 'монтаж систем видеонаблюдения', 'монтаж СКУД', 'монтаж систем ОПС', 'монтаж слаботочных сетей', 'монтаж оборудования', 'монтаж электрооборудования', 'разводка и прокладка кабелей']","['Пенсионерам', 'Студентам']","ООО ""ТЕХНОПРОМ""","['Электрозаводская,', 'Бауманская,', 'Электрозаводская']","Электрозаводская, Бауманская, Электрозаводская,г Москва, ул Бакунинская, д 74-76 к 1",Москва,Монтажник,Электромонтажник,от 1 года,любое,https://www.rabota.ru/vacancy/49703468/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,80000
Мастер маникюра-педикюра,60000— 90000 руб.,"['пунктуальность', 'стрессоустойчивость', 'общение с клиентами', 'маникюр', 'наращивание ногтей', 'классический маникюр', 'классический педикюр', 'аппаратный маникюр', 'парафинотерапия', 'дизайн ногтей', 'комбинированный маникюр', 'комбинированный педикюр', 'наращивание ногтей (гель)', 'обрезной маникюр', 'укрепление ногтей', 'покрытие Shellac', 'мужской маникюр', 'Выравнивание ногтевой пластины', 'френч']",Без тега,"ООО ""ПОДОЦЕНТР""","['Царицыно,', 'Покровское']","Царицыно, Покровское,г Москва, ул 6-я Радиальная",Москва,Мастер ногтевого сервиса,,от 1 года,любое,https://www.rabota.ru/vacancy/49484080/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,90000
Врач косметолог,40000— 150000 руб.,"['чистка лица', 'биоревитализация', 'контурная пластика', 'лазерная эпиляция', 'Плазмотерапия']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МИРОНОВА ДАРЬЯ АЛЕКСАНДРОВНА,['Таганская'],"Таганская,г Москва, ул Верхняя Радищевская, д 6 стр 3",Москва,Работа в сфере красоты,Косметолог,от 1 года,высшее,https://www.rabota.ru/vacancy/48899784/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,150000
Бариста,22500— 60000 руб.,"['трудолюбие', 'стрессоустойчивость', 'грамотная речь', 'обучаемость', 'позитивный настрой', 'общение с клиентами', 'кассовая дисциплина', 'обслуживание гостей', 'консультирование гостей', 'приготовление кофе', 'работа за барной стойкой', 'Работа в команде', 'Опрятность']","['Пенсионерам', 'Студентам']",Индивидуальный предприниматель УСОВ ВЛАДИСЛАВ АЛЕКСАНДРОВИЧ,"['Савеловская,', 'Савеловская']","Савеловская, Савеловская,г Москва, ул Правды, д 23",Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/48794408/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,22500,60000
Мастер маникюра-педикюра,60000— 120000 руб.,нет,['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПРИЛЕПСКАЯ НАДЕЖДА АЛЕКСЕЕВНА,['Новогиреево'],"Новогиреево,г Москва, ул Молостовых, д 1Б",Москва,Мастер ногтевого сервиса,,до года,любое,https://www.rabota.ru/vacancy/48571012/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,120000
Фармацевт-провизор,от 50000 руб.,"['аптечный ассортимент', 'отпуск лекарственных средств', 'фармацевтический порядок']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ОГАНЕСЯН ЛИЛИТ СУРЕНОВНА,['Бибирево'],"Бибирево,г Москва, Алтуфьевское шоссе",Москва,Работа в сфере фармакологии,Провизор,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/48355700/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,
Водитель-курьер легких заказов,106500— 158500 руб.,['доставка заказов'],"['Быстрый отклик', 'Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Блю Коллар,['Новогиреево'],"Новогиреево,г Москва, Свободный пр-кт, д 33",Москва,Работа в сфере доставки,Курьер,без опыта,среднее,https://www.rabota.ru/vacancy/54256288/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,106500,158500
Кладовщик-оператор,80000— 90000 руб.,"['1С:Торговля и Склад', 'складской учет', 'работа склада', 'прием товара', 'отгрузка товара', 'комплектация товара', 'сбор заказов', 'упаковка', 'отпуск товара со склада', 'ведение складской документации', 'упаковка товара', 'пользователь ПК', 'Складской документооборот']",Без тега,"ООО ""ТАВРОСТ""","['Тушинская,', 'Сходненская,', 'Трикотажная,', 'Тушинская']","Тушинская, Сходненская, Трикотажная, Тушинская,г Москва, Походный пр-д, д 7",Москва,Работа на складах,Кладовщик,без опыта,любое,https://www.rabota.ru/vacancy/53517143/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
Швея,80000— 150000 руб.,нет,"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МОРОЗОВ ИГОРЬ ЮРЬЕВИЧ,['Улица Сергея Эйзенштейна'],"Улица Сергея Эйзенштейна,г Москва, ул Касаткина, д 3А",Москва,Работа в сфере бытовых услуг,,от 1 года,любое,https://www.rabota.ru/vacancy/51928529/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
Оператор пункта выдачи заказов,50000— 70000 руб.,"['ответственность', 'пунктуальность', 'дисциплинированность', 'коммуникабельность', 'стрессоустойчивость', 'общение с клиентами', 'обработка данных', 'обработка заказов', 'работа с заказами']","['Пенсионерам', 'Студентам']","ООО ""ТИМОС ХХI""",['Текстильщики'],"Текстильщики,г Москва, ул Люблинская, д 27/2",Москва,Администратор,Администратор пункта выдачи заказов,без опыта,любое,https://www.rabota.ru/vacancy/50263727/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,70000
Продавец-консультант,80000— 150000 руб.,"['ответственность', 'коммуникабельность', 'грамотная речь', 'обучаемость', 'общение с клиентами', 'работа в торговом зале', 'активные продажи', 'консультирование', 'умение продавать', 'прием товар']",['Студентам'],"ООО ""СВЕТ-ПРЕМИУМ""","['Академическая,', 'Профсоюзная,', 'Новые Черемушки,', 'Калужская,', 'Нагатинская,', 'Нагорная,', 'Нахимовский проспект,', 'Севастопольская,', 'Каховская,', 'Варшавская,', 'Крымская,', 'Верхние котлы,', 'Воронцовская,', 'Зюзино']","Академическая, Профсоюзная, Новые Черемушки, Калужская, Нагатинская, Нагорная, Нахимовский проспект, Севастопольская, Каховская, Варшавская, Крымская, Верхние котлы, Воронцовская, Зюзино,г Москва, Нахимовский пр-кт",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/50120977/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
Управляющий/директор магазина одежды,до 200000 руб.,"['ответственность', 'стрессоустойчивость', 'общение с клиентами', 'консультирование посетителей']",Без тега,"ООО ""ЦЕНТР ИННОВАЦИЙ""",['Кузьминки'],"Кузьминки,г Москва, ул Юных Ленинцев, д 101",Москва,Заведующий,Директор магазина,от 3 лет,любое,https://www.rabota.ru/vacancy/49578621/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,200000
Курьер,150000— 170000 руб.,"['ответственность', 'пунктуальность', 'хорошее знание Москвы', 'доставка документов', 'доставка заказов']","['Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШАЙКИН ДЕНИС АЛЕКСАНДРОВИЧ,['Международная'],"Международная,г Москва, Пресненская наб, д 12",Москва,Работа в сфере доставки,Курьер,без опыта,любое,https://www.rabota.ru/vacancy/54241428/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,170000
Преподаватель робототехники,40000— 120000 руб.,"['коммуникабельность', 'стрессоустойчивость', 'обучаемость', 'MS Office', 'проведение презентаций', 'работа с детьми', 'организация учебного процесса', 'обучение детей', 'индивидуальные занятия', 'групповые занятия', 'разработка методических материалов', 'проведение практических занятий', 'проведение уроков', 'преподавание предмета', 'фантазировать', 'умение создать новое', 'желательно знать предмет физика']",['Студентам'],"ООО ""ЭГОПРОФ""",['ЗИЛ'],"ЗИЛ,г Москва, ул Архитектора Щусева, д 1",Москва,Работа в сфере образования,Преподаватель,от 3 лет,высшее,https://www.rabota.ru/vacancy/54237338/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,120000
Курьер,90000— 130000 руб.,"['ответственность', 'пунктуальность', 'доставка заказов']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КУРАГИН ЮРИЙ ВЛАДИСЛАВОВИЧ,"['Пушкинская,', 'Чеховская']","Пушкинская, Чеховская,г Москва, Успенский пер, д 3 стр 2",Москва,Работа в сфере доставки,Курьер,до года,любое,https://www.rabota.ru/vacancy/53903209/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,130000
Врач-уролог/андролог (оперирующий),от 200000 руб.,"['развитые коммуникативные навыки', 'лечение пациентов', 'консультирование пациентов', 'работа в стационаре']",Без тега,"АО ""АЛАН КЛИНИК""",['Щукинская'],"Щукинская,г Москва, ул Авиационная, д 77 к 2",Москва,Работа в сфере медицины,Врач,от 5 лет,высшее,https://www.rabota.ru/vacancy/53902891/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,200000,
Продавец-кассир,100000 руб.,"['работа на кассе', 'продажи']",['Студентам'],"ООО ""ШАКЕР""",['Верхние Лихоборы'],"Верхние Лихоборы,г Москва, Бескудниковский б-р, д 4",Москва,Работа в торговле,Продавец,до года,любое,https://www.rabota.ru/vacancy/53785382/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Старший флорист,80000— 150000 руб.,"['активные продажи', 'управление продажами', 'Обучение и развитие', 'деловая переписка', 'организаторские навыки', 'ориентация на клиента', 'развитие продаж', 'Деловое общение', 'Навыки продаж']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ШУДЕГОВА ЕКАТЕРИНА ОЛЕГОВНА,['Спартак'],"Спартак,г Москва, Волоколамское шоссе, д 71/13 к 1",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/53785045/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,150000
Администратор в автосервис,50000— 85000 руб.,нет,Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ПЕТРОВ ВИКТОР ВАЛЕРЬЕВИЧ,['Алма-Атинская'],"Алма-Атинская,г Москва, Капотня 2-й кв-л, д 6 стр 1",Москва,,Администратор,без опыта,любое,https://www.rabota.ru/vacancy/53748905/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,85000
"Инженер-проектировщик раздела ВК, НВК",от 160000 руб.,"['AutoCAD', 'проектная деятельность']",Без тега,"ООО ""ПСК ""ТРЕТЬЯ СТОЛИЦА""","['Новогиреево,', 'Перово,', 'Кусково,', 'Новогиреево']","Новогиреево, Перово, Кусково, Новогиреево,г Москва, ул Новотетёрки, д 8",Москва,Инженер по сетям,Инженер-проектировщик вк,от 3 лет,высшее,https://www.rabota.ru/vacancy/53437484/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,160000,
Менеджер по работе с клиентами,от 80000 руб.,"['выполнение плана продаж', 'подготовка коммерческих предложений', 'ведение заказов', 'сопровождение сделки', 'консультирование', 'продажи продукта / услуги']",Без тега,ИП Кудряшов Константин Леонидович,['Люблино'],"Люблино,г Москва, ул Люблинская, д 40",Москва,Менеджер по работе с клиентами,,от 1 года,любое,https://www.rabota.ru/vacancy/53157855/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,
Продавец-консультант,от 70000 руб.,"['ответственность', 'пунктуальность', 'грамотная речь', 'обучаемость', 'доброжелательность', 'вежливость', 'общение с клиентами', 'активные продажи', 'прием товара']",Без тега,ИП Горячева Екатерина Андреевна,['Братиславская'],"Братиславская,г Москва, ул Братиславская, д 22",Москва,Работа в торговле,Продавец,до года,любое,https://www.rabota.ru/vacancy/52115179/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Продавец,80000— 100000 руб.,"['обслуживание покупателей', 'консультирование', 'демонстрация товара', 'продажа']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ДЗЕБИСАШВИЛИ СТЕФАН,['Выставочный центр'],"Выставочный центр,г Москва, ул 1-я Останкинская, д 55",Москва,Работа в торговле,Продавец,без опыта,любое,https://www.rabota.ru/vacancy/50354677/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,100000
"Администратор в музей ""СЕНСОРИУМ""",от 45000 руб.,"['грамотная речь', 'консультирование клиентов', 'решение административно-хозяйственных вопросов', 'Работа в команде']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТЕЙБАШ ДМИТРИЙ АНАТОЛЬЕВИЧ,"['Арбатская,', 'Смоленская,', 'Смоленская,', 'Арбатская']","Арбатская, Смоленская, Смоленская, Арбатская,г Москва, ул Арбат, д 17",Москва,Администратор,Администратор пункта выдачи заказов,от 1 года,любое,https://www.rabota.ru/vacancy/50192872/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,
Мастер маникюра-педикюра,100000— 200000 руб.,"['ответственность', 'маникюр', 'комбинированный маникюр', 'покрытие гель лаком']","['Студентам', 'Людям с инвалидностью']",ИП Львов Илья Алексеевич,"['Кунцевская,', 'Кунцевская']","Кунцевская, Кунцевская,г Москва, метро Кунцевская (Арбатско-Покровская)",Москва,Мастер ногтевого сервиса,,от 1 года,любое,https://www.rabota.ru/vacancy/53885261/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,200000
Менеджер по работе с клиентами,от 70000 руб.,"['клиентоориентированность', 'развитие клиентской базы', 'ведение клиентской базы', 'телефонные переговоры', 'активные продажи', 'подготовка коммерческих предложений', 'увеличение объемов продаж', 'сопровождение сделки', 'поддержание клиентской базы', 'продажи продукта / услуги']",Без тега,ООО Торос,['Очаково'],"Очаково,г Москва, ул Рябиновая, д 28А стр 1",Москва,Менеджер по работе с клиентами,,от 1 года,любое,https://www.rabota.ru/vacancy/53848619/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Печатник на цифровом оборудовании,80000— 90000 руб.,"['аккуратность', 'Аккуратность, точность']","['Пенсионерам', 'Студентам']",ООО Нексмедиа,['Калужская'],"Калужская,г Москва, ул Обручева, д 34/63 стр 3",Москва,Работа на производстве,Мастер производства,от 1 года,любое,https://www.rabota.ru/vacancy/53839330/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,90000
Флорист,60000— 70000 руб.,"['ответственность', 'аккуратность', 'стрессоустойчивость', 'обучаемость', 'консультирование клиентов', 'общение с клиентами', 'кассовая дисциплина', 'телефонные переговоры', 'прием товара', 'прямые продажи', 'составление букетов', 'составление композиций', 'уход за горшечными растениями', 'оформление витрины', 'упаковка подарков', 'работа с живыми цветами', 'ориентация на клиента']",Без тега,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МИНИНА ОЛЬГА ИГОРЕВНА,['Новые Черемушки'],"Новые Черемушки,г Москва, ул Гарибальди, д 23",Москва,Флористика,,от 1 года,любое,https://www.rabota.ru/vacancy/53798355/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,70000
Техник,от 70000 руб.,нет,Без тега,"ООО ""СПЕЦЦЕНТР""",['Сокольники'],"Сокольники,г Москва, ул Большая Ширяевская, д 11",Москва,,,до года,любое,https://www.rabota.ru/vacancy/53785354/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,70000,
Менеджер по туризму,от 90000 руб.,нет,Без тега,"ООО ""МАРЭВ МАРКЕТИНГ ИВЕНТ СОЛЮШНС""",['Белорусская'],"Белорусская,г Москва, ул 3-я Ямского Поля, д 2 к 13",Москва,Работа в сфере туризма,,от 3 лет,любое,https://www.rabota.ru/vacancy/53725943/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,
Курьер по доставке,95000— 150000 руб.,"['ответственность', 'пунктуальность', 'исполнительность', 'внимательность', 'дисциплинированность', 'вежливость', 'выносливость', 'общение с клиентами', 'доставка товаров', 'доставка заказов']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МЕСЯЦЕВА ВАЛЕРИЯ АЛЕКСАНДРОВНА,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в сфере доставки,Курьер,без опыта,любое,https://www.rabota.ru/vacancy/53637086/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,95000,150000
Медицинская сестра,до 80000 руб.,"['умение работать в команде', 'уверенный пользователь ПК', 'организация хранения документов', 'ведение медицинской документации']",['Быстрый отклик'],"ООО ""МЕДКЛАСТЕР""",['Саларьево'],"Саларьево,г Москва, р-н Коммунарка, ул Саларьевская, д 14 к 2",Москва,Работа в сфере медицины,,от 1 года,среднее профессиональное,https://www.rabota.ru/vacancy/53511391/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,80000
Мастер маникюра и педикюра,60000— 120000 руб.,"['аккуратность', 'общение с клиентами', 'работа с клиентами', 'маникюр', 'аппаратный маникюр', 'комбинированный маникюр', 'японский маникюр', 'мужской маникюр', 'детский маникюр']",['Студентам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЦЫПЛЯЕВА ИРИНА ИГОРЕВНА,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Мастер ногтевого сервиса,Мастер маникюра-педикюра,без опыта,любое,https://www.rabota.ru/vacancy/52591017/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,60000,120000
Агент по продаже недвижимости,по договоренности,нет,Без тега,"ООО ""ЗАПАД РИЭЛТИ""",['Народное ополчение'],"Народное ополчение,г Москва, пр-кт Маршала Жукова, д 78 к 4",Москва,Работа в сфере недвижимости,Риэлтор,без опыта,любое,https://www.rabota.ru/vacancy/52347722/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Врач-отоларинголог детский,80000— 120000 руб.,"['ведение медицинской документации', 'диагностика заболеваний', 'действующий сертификат', 'консультирование пациентов', 'составление плана лечения']",['Пенсионерам'],"ООО ""ИНВЕСТМЕДКОМ""",['Шаболовская'],"Шаболовская,г Москва, ул Лестева, д 20",Москва,Работа в сфере медицины,Врач,от 3 лет,высшее,https://www.rabota.ru/vacancy/50442600/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,80000,120000
Массажист,50000— 70000 руб.,"['массаж лица', 'классический массаж', 'действующий сертификат массажиста', 'спортивный массаж', 'лимфодренажный массаж', 'детский массаж', 'расслабляющий массаж', 'лечебно-восстановительный массаж', 'общеоздоровительный массаж', 'медицинский массаж']",Без тега,"ООО ""ОСТЕОСТАТУС""","['Бунинская аллея,', 'Коммунарка,', 'Потапово']","Бунинская аллея, Коммунарка, Потапово,г Москва, поселение Сосенское, ул Александры Монаховой, д 92 к 3",Москва,Работа в сфере красоты,Массажист,от 5 лет,среднее профессиональное,https://www.rabota.ru/vacancy/50369409/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,50000,70000
Менеджер по продажам,40000— 200000 руб.,"['""холодные"" звонки', 'активные продажи', 'CRM-система', 'поддержание клиентской базы']",Без тега,"ООО ""МТК ОЛИМП""",['Очаково'],"Очаково,г Москва, ул Рябиновая, д 26 стр 1",Москва,Работа в торговле,Менеджер по продажам,от 1 года,среднее,https://www.rabota.ru/vacancy/50249231/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,40000,200000
Бариста-кассир,45000— 56000 руб.,"['умение работать с людьми', 'доброжелательность', 'вежливость', 'общение с клиентами', 'обслуживание гостей', 'приготовление напитков', 'консультирование гостей', 'уборка рабочей зоны', 'приготовление кофе', 'контроль наличия товаров', 'быстро учусь']",['Пенсионерам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КУЗИНА ЕЛЕНА ВАЛЕНТИНОВНА,"['Кленовый бульвар,', 'Нагатинский затон']","Кленовый бульвар, Нагатинский затон,г Москва, ул Речников, д 21 стр 6",Москва,Работа в ресторанах,,без опыта,любое,https://www.rabota.ru/vacancy/50248270/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,45000,56000
Повар горячего цеха,от 67500 руб.,"['европейская кухня', 'итальянская кухня', 'приготовление горячих блюд', 'приготовление супов', 'приготовление горячих закусок']",Без тега,"ООО ""РОЗМАРИН""",['Полянка'],"Полянка,г Москва, ул Большая Полянка, д 27",Москва,Работа в ресторанах,Повар,от 1 года,любое,https://www.rabota.ru/vacancy/50175575/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,67500,
