Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
Менеджер по продажам,от 100000 руб.,"['общение с клиентами', 'активные продажи', 'выполнение плана продаж', 'умение продавать']",Без тега,Академия Финансов,['Площадь Революции'],"Площадь Революции,г Москва",Москва,Работа в торговле,Менеджер по продажам,от 1 года,любое,https://www.rabota.ru/vacancy/53833039/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Швея,90000— 120000 руб.,"['ответственность', 'пунктуальность', 'аккуратность', 'коммуникабельность', 'оверлок', 'все виды работ', 'Прямострочка']",Без тега,ООО Артупак,['Москва Товарная'],"Москва Товарная,г Москва, ул Рабочая, д 93 стр 2",Москва,Работа в сфере бытовых услуг,,от 1 года,любое,https://www.rabota.ru/vacancy/47881532/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,120000
Мастер-универсал,150000— 250000 руб.,"['малярные работы', 'монтажные работы', 'строительные работы', 'ремонтные работы', 'работа с проектно-сметной документацией', 'плотницкие работы', 'электромонтажные работы', 'электрика', 'прокладка кабелей', 'штукатурные работы', 'отделочные работы', 'укладка плитки', 'работа с гипсокартоном', 'работа ручным инструментом', 'работа с электроинструментом', 'штукатурка', 'отделка помещений', 'шпаклевка', 'сантехнические работы', 'отделка внутренних помещений', 'укладка напольных покрытий', 'демонтажные работы', 'плиточные работы', 'ремонтно-строительные работы', 'ремонтно-отделочные работы', 'плитка']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']","ООО ""РСК""",['Тульская'],"Тульская,г Москва, Духовской пер, д 17 стр 15, помещ 14Н/2",Москва,,,от 1 года,любое,https://www.rabota.ru/vacancy/52309129/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,250000
Швея,90000— 150000 руб.,"['ответственность', 'пунктуальность', 'аккуратность', 'обучаемость', 'пошив одежды']","['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",ИП Жолялетдинов Тахир Закариевич,['Новокосино'],"Новокосино,г Москва, ул Новокосинская, д 22",Москва,Работа в сфере бытовых услуг,,от 1 года,любое,https://www.rabota.ru/vacancy/50174572/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,90000,150000
Водитель такси,144000— 192000 руб.,['стаж вождения от 3 лет'],"['Пенсионерам', 'Студентам', 'Людям с инвалидностью']",Индустрия Такси,"['Калужская,', 'Воронцовская']","Калужская, Воронцовская,г Москва, ул Обручева, д 34/63 стр 2",Москва,Работа на транспорте,Водитель,без опыта,любое,https://www.rabota.ru/vacancy/53855896/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,144000,192000
Менеджер по продажам ВЭД / Международная логистика,по договоренности,нет,Без тега,"ООО ""КАПИТАЛ ПЛЮС""",['Улица Академика Янгеля'],"Улица Академика Янгеля,г Москва, Варшавское шоссе",Москва,Работа в торговле,Менеджер по продажам,от 1 года,высшее,https://www.rabota.ru/vacancy/54253103/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Оператор по продаже банковских продуктов,по договоренности,"['ответственность', 'коммуникабельность', 'обучаемость', 'Работа в команде']","['Студентам', 'Людям с инвалидностью']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЗАХВАТОВА ЮЛИЯ НИКОЛАЕВНА,"['Дмитровская,', 'Гражданская,', 'Дмитровская']","Дмитровская, Гражданская, Дмитровская,г Москва, ул Хуторская 2-я, д 38А стр 26",Москва,Работа в торговле,Менеджер по продажам,без опыта,любое,https://www.rabota.ru/vacancy/49744998/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,,
Уборщик/ца-посудомойщик/ца,от 100000 руб.,"['уборка помещений', 'мытье посуды', 'сухая и влажная уборка', 'мытье полов', 'поддержание чистоты и порядка']",['Пенсионерам'],ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ АНТИЧ САША,"['Савеловская,', 'Савеловская,', 'Савеловская']","Савеловская, Савеловская, Савеловская,г Москва, ул Бутырская, д 46 стр 2",Москва,Мойщик,Мойщик посуды,без опыта,любое,https://www.rabota.ru/vacancy/54253254/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,
Помощник руководителя,150000— 160000 руб.,"['ведение деловой переписки', 'встреча гостей', 'обеспечение жизнедеятельности офиса', 'решение административно-хозяйственных вопросов', 'консультирование', 'деловая переписка', 'Административная поддержка руководителя']","['Быстрый отклик', 'Пенсионерам', 'Студентам']",ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ТАРАСЕВИЧ ГУЛСАРА ВАХХОБОВНА,"['Парк культуры,', 'Парк культуры']","Парк культуры, Парк культуры,г Москва, метро Парк культуры (Кольцевая)",Москва,Работа в офисе,Секретарь,без опыта,среднее,https://www.rabota.ru/vacancy/54253181/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,160000
Менеджер по продажам,от 150000 руб.,"['техника продаж', 'телефонные переговоры', '""холодные"" звонки', 'активные продажи', 'выполнение плана продаж', 'ведение заказов', 'прямые продажи', 'умение продавать']",['Быстрый отклик'],"ООО ""КРЕЙЗИ НАТС""","['Царицыно,', 'Пражская,', 'Царицыно']","Царицыно, Пражская, Царицыно,г Москва, ул 6-я Радиальная, д 9",Москва,Работа в торговле,Менеджер по продажам,от 3 лет,высшее,https://www.rabota.ru/vacancy/54253166/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,150000,
Продакт-менеджер (удалённо),100000— 300000 руб.,"['умение работать в режиме многозадачности', 'коммуникабельность', 'управление проектами']","['Студентам', 'Людям с инвалидностью']",Гецман Алина Витальевна,['Деловой центр'],"Деловой центр,г Москва, 1-й Красногвардейский проезд, д 22 стр 2",Москва,Руководитель,Руководитель проекта,без опыта,любое,https://www.rabota.ru/vacancy/54253127/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,100000,300000
