,Название вакансии,Зарплата,Требуемые навыки,Теги,Компания,Метро,Адрес,Город,Сфера,Общее название профессии,Опыт работы,Образование,Ссылка,Минимальная зарплата,Максимальная зарплата
7268,Горничная в гостиницу,по договоренности,"['чистоплотность', 'влажная уборка', 'уборка номеров', 'смена постельного белья', 'поддержание чистоты и порядка']",['Пенсионерам'],Николаев Александр Иванович,['Площадь Восстания'],"Площадь Восстания,г Санкт-Петербург, ул Восстания, д 16",Санкт-Петербург,,Горничная,без опыта,любое,https://spb.rabota.ru/vacancy/54241496/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
7269,Уборщик,30000 руб.,['клининг'],"['Быстрый отклик', 'Студентам']",Группа Управляющих Компаний,['Удельная'],"Удельная,г Санкт-Петербург, пр-кт Энгельса, д 33 к 1",Санкт-Петербург,Работа в сфере бытовых услуг,Уборщица,без опыта,любое,https://spb.rabota.ru/vacancy/54240665/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,30000,
7270,Водитель-курьер,100000— 180000 руб.,"['работа с сопроводительной документацией', 'доставка заказов']",Без тега,Индивидуальный предприниматель ЗЕМСКИЙ ВАДИМ ВАЛЕРЬЕВИЧ,['Обводный канал'],"Обводный канал,г Санкт-Петербург",Санкт-Петербург,Работа в сфере доставки,Курьер,без опыта,любое,https://spb.rabota.ru/vacancy/54227589/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,100000,180000
7271,Руководитель направления сбыта «Северо-Западный федеральный округ»,по договоренности,"['ответственность', 'стрессоустойчивость', 'ведение деловой переписки']",Без тега,"СВЯЗЬСТРОЙДЕТАЛЬ, АО","['Технологический институт,', 'Технологический институт']","Технологический институт, Технологический институт,г Санкт-Петербург, ул 6-я Красноармейская, д 5-7 литера А",Санкт-Петербург,,,от 3 лет,высшее,https://spb.rabota.ru/vacancy/54225321/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
7273,Помощник инженера-конструктора,по договоренности,['AutoCAD'],Без тега,"ООО ""ПАРТНЕРЪ""",['Гражданский проспект'],"Гражданский проспект,г Санкт-Петербург, ул Лужская, д 3 к 2",Санкт-Петербург,Конструктор,Инженер-конструктор,от 1 года,среднее профессиональное,https://spb.rabota.ru/vacancy/54217292/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
7274,Оператор станка,80000— 110000 руб.,['обучаемость'],"['Пенсионерам', 'Студентам']",ООО Абсолют Плюс,['Бухарестская'],"Бухарестская,г Санкт-Петербург, ул Салова, д 45 литера О",Санкт-Петербург,,Оператор,без опыта,среднее,https://spb.rabota.ru/vacancy/54209151/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,80000,110000
7275,Слесарь-сантехник,от 94500 руб.,нет,Без тега,"ООО ""ВСК""",['Лесная'],"Лесная,г Санкт-Петербург, Лесной пр-кт, д 65 к 1",Санкт-Петербург,Работа в строительстве,Сантехник,от 3 лет,среднее,https://spb.rabota.ru/vacancy/53905127/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,94500,
7276,Менеджер-администратор по обработке входящих заявок в языковой центр,50000— 80000 руб.,"['ответственность', 'коммуникабельность', 'общение с клиентами', 'ведение клиентской базы', 'работа с документами', 'общение по телефону', 'деловая переписка', 'Грамотная устная и письменная речь']",Без тега,"ЧОУ ДПО ""ДЕРЖАВИНСКИЙ ИНСТИТУТ""","['Технологический институт,', 'Технологический институт']","Технологический институт, Технологический институт,г Санкт-Петербург, Измайловский пр-кт, д 7 литера З, помещ 11-Н",Санкт-Петербург,Администратор,Администратор пункта выдачи заказов,от 1 года,высшее,https://spb.rabota.ru/vacancy/53880937/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,50000,80000
7277,Водитель-экспедитор категории Е,по договоренности,"['ремонт автомобилей', 'техническое обслуживание автомобилей', 'перевозка грузов', 'работа с сопроводительной документацией', 'перевозка грузов по России']",Без тега,ООО ТП Балтранс,"['Парнас,', 'Адмиралтейская']","Парнас, Адмиралтейская,г Санкт-Петербург",Санкт-Петербург,Экспедитор,Водитель-экспедитор,от 3 лет,любое,https://spb.rabota.ru/vacancy/53846434/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
7278,Электрик,по договоренности,"['электрика', 'обслуживание электрооборудования', 'эксплуатация электрооборудования']",Без тега,"ООО ""СЛУЖБА ЭКСПЛУАТАЦИИ СПБ""",['Василеостровская'],"Василеостровская,г Санкт-Петербург, линия 15-я В.О., д 28",Санкт-Петербург,Работа в строительстве,,без опыта,любое,https://spb.rabota.ru/vacancy/53794945/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,,
