Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Парикмахер-универсал,60000.0,200000.0,от 3 лет,любое,Шевченко Татьяна Анатольевна,Москва,"Петровский парк, Петровский парк,г Москва, ул Верхняя Масловка, д 28",55.7992373,37.5592834,"['Петровский парк,', 'Петровский парк']",https://www.rabota.ru/vacancy/54255960/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Ведущий научный сотрудник,150000.0,,от 1 года,высшее,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,Москва,"Бутырская,г Москва, ул Добролюбова, д 11",55.8144303,37.5923974,['Бутырская'],https://www.rabota.ru/vacancy/54244351/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер на доставку сантехники,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54238467/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер на личном авто,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54238448/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Медицинский писатель (Координационный центр федерального проекта),,,от 1 года,высшее,ФГБУ «ЦНИИОИЗ» МИНЗДРАВА РОССИИ,Москва,"Гражданская,г Москва, ул Вучетича, д 12",55.8097578,37.5609621,['Гражданская'],https://www.rabota.ru/vacancy/54223769/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер по доставке продуктов,,,без опыта,любое,Яндекс.Доставка,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/54219184/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Маляр на кузнечное производство,80000.0,90000.0,от 1 года,любое,"ООО ""СГ""",Москва,"Бутырская,г Москва, Огородный проезд, д 9",55.8110367,37.6020669,['Бутырская'],https://www.rabota.ru/vacancy/53919291/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-экспедитор категории C,120000.0,140000.0,от 1 года,среднее профессиональное,Альфа транс,Москва,"Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",55.7189013,37.7592642,"['Стахановская ,', 'Окская']",https://www.rabota.ru/vacancy/53745521/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-курьер с личным автомобилем,261900.0,371000.0,без опыта,любое,Парк7778,Москва,г Москва,55.625578,37.6063916,,https://www.rabota.ru/vacancy/50258792/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-экспедитор категории В,90000.0,150000.0,от 3 лет,среднее профессиональное,Альфа транс,Москва,"Стахановская , Окская ,г Москва, 1-й Вязовский проезд, д 4 к 1",55.7189013,37.7592642,"['Стахановская ,', 'Окская']",https://www.rabota.ru/vacancy/49683003/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Главный инженер,80000.0,100000.0,от 5 лет,высшее,Государственное бюджетное учреждение культуры города Москвы &amp;quot;Московский детский театр теней&amp;quot;,Москва,"Первомайская,г Москва, Измайловский б-р, д 60/10",55.7964216,37.8128028,['Первомайская'],https://www.rabota.ru/vacancy/49350180/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Повар-универсал,100000.0,120000.0,от 1 года,любое,ООО Мишлена,Москва,"Верхние котлы,г Москва, метро Верхние Котлы",55.6901311,37.6188659,['Верхние котлы'],https://www.rabota.ru/vacancy/36843243/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Инженер-бактериолог,87000.0,,от 1 года,высшее,"АО ""Меридиан""",Москва,"Ховрино,г Москва, ул Ижорская, д 7",55.8871631,37.5007582,['Ховрино'],https://www.rabota.ru/vacancy/54239740/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Кладовщик-грузчик,90000.0,120000.0,без опыта,любое,"РАВТ, ООО",Москва,"Саларьево,г Москва, р-н Коммунарка, ул Адмирала Корнилова, д 61",55.6192301,37.4407894,['Саларьево'],https://www.rabota.ru/vacancy/52529658/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Старший смены на пищевое производство,70000.0,,без опыта,среднее,"АО ""Меридиан""",Москва,"Ховрино,г Москва, ул Ижорская, д 7",55.8871631,37.5007582,['Ховрино'],https://www.rabota.ru/vacancy/54239757/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Бухгалтер,110000.0,120000.0,от 3 лет,высшее,"ООО ""Калитера""",Москва,"Белорусская, Белорусская, Белорусская,г Москва, Ленинградский пр-кт, д 7 стр 1",55.8036094,37.5211929,"['Белорусская,', 'Белорусская,', 'Белорусская']",https://www.rabota.ru/vacancy/54253992/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Главный бухгалтер,110000.0,130000.0,от 3 лет,среднее профессиональное,"ООО ""Новые Горизонты""",Москва,"Чкаловская, Курская, Курская,г Москва, ул Нижняя Сыромятническая, д 11 стр 52",55.752983,37.6715929,"['Чкаловская,', 'Курская,', 'Курская']",https://www.rabota.ru/vacancy/54245905/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Охранник-контролер,90000.0,,без опыта,среднее,"ООО ЧОО ""СБ Секьюрити""""",Москва,"Улица 1905 года,г Москва",55.625578,37.6063916,['Улица 1905 года'],https://www.rabota.ru/vacancy/54233665/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель такси,120000.0,150000.0,без опыта,любое,Unicum,Москва,"Отрадное,г Москва, ул Декабристов, д 27",55.8631338,37.6095115,['Отрадное'],https://www.rabota.ru/vacancy/48165167/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель-экспедитор с личным автомобилем,100000.0,,от 3 лет,среднее профессиональное,"Бриго, ООО",Москва,"Щелковская, Бульвар Рокоссовского, Черкизовская, Локомотив, Бульвар Рокоссовского,г Москва, ул Монтажная, д 3 стр 1",55.8184682,37.7702523,"['Щелковская,', 'Бульвар Рокоссовского,', 'Черкизовская,', 'Локомотив,', 'Бульвар Рокоссовского']",https://www.rabota.ru/vacancy/32286416/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Машинист по стирке одежды,49000.0,,без опыта,любое,"АО ""Меридиан""",Москва,"Ховрино, Ховрино,г Москва, ул Ижорская, д 7 стр 3",55.8871631,37.5007582,"['Ховрино,', 'Ховрино']",https://www.rabota.ru/vacancy/54240032/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Охранник (Москва),90000.0,150000.0,без опыта,любое,ООО Частное охранное предприятие ПРОФИ-Безопасность,Москва,"Выхино,г Москва",55.625578,37.6063916,['Выхино'],https://www.rabota.ru/vacancy/50270662/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Работник кухни (Академика Опарина 4к1),74000.0,81400.0,без опыта,любое,Самокат,Москва,"Беляево,г Москва, ул Академика Опарина, д 4 к 1",55.6442291,37.5004569,['Беляево'],https://www.rabota.ru/vacancy/54210839/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Курьер/велокурьер (Самокат),110000.0,210000.0,без опыта,любое,Альфа персонал,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54250930/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Кладовщик,70000.0,,от 1 года,любое,Comfer,Москва,"Бутырская,г Москва, Огородный проезд",55.8150007,37.6000496,['Бутырская'],https://www.rabota.ru/vacancy/48027959/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Официант (Официантка),180000.0,240000.0,без опыта,любое,"ООО ""Верест""",Москва,"Китай-город, Китай-город,г Москва, метро Китай-город (Калужско-Рижская)",55.7556518,37.6335649,"['Китай-город,', 'Китай-город']",https://www.rabota.ru/vacancy/54253219/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Директор магазина (Кубинка 15к2),103600.0,134680.0,без опыта,любое,Самокат,Москва,"Сетунь,г Москва, ул Кубинка, д 15 к 2",55.723915,37.4056483,['Сетунь'],https://www.rabota.ru/vacancy/54252897/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Комплектовщик-упаковщик (вахта),139500.0,224800.0,без опыта,любое,Pro Выбор,Москва,"Комсомольская, Комсомольская,г Москва, метро Комсомольская (Сокольническая)",55.7752083,37.6560339,"['Комсомольская,', 'Комсомольская']",https://www.rabota.ru/vacancy/54251168/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Охранник (вахта),118000.0,120000.0,без опыта,среднее,"ООО ""ЧОП ""Москва""",Москва,"Проспект Вернадского, Тропарево,г Москва, пр-кт Вернадского, д 94",55.6522019,37.4723005,"['Проспект Вернадского,', 'Тропарево']",https://www.rabota.ru/vacancy/53395216/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Администратор на ресепшн,130000.0,138000.0,без опыта,любое,ООО Бельведер,Москва,"Калужская,г Москва, Научный проезд, д 14А стр 3, помещ 5/А",55.6558437,37.5545797,['Калужская'],https://www.rabota.ru/vacancy/53119483/?search_id=17755125309468y1a9rich98&methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Уборщик/Уборщица,,70000.0,без опыта,любое,"Фасилити Солюшенс, ООО",Москва,"Калужская, Воронцовская, Зюзино,г Москва, Научный проезд, д 17",55.6541476,37.5559185,"['Калужская,', 'Воронцовская,', 'Зюзино']",https://www.rabota.ru/vacancy/34126047/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Столяр-мебельщик,110000.0,150000.0,от 1 года,любое,House cult,Москва,"г Москва, р-н Вороново, деревня Бабенки",55.3519695,37.1874261,,https://www.rabota.ru/vacancy/54249411/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Охранник,60000.0,150000.0,от 1 года,любое,"ЧОП ""Рубикон""",Москва,"Курская, Курская, Чкаловская,г Москва, ул Земляной Вал, д 33",55.757238,37.6589951,"['Курская,', 'Курская,', 'Чкаловская']",https://www.rabota.ru/vacancy/48899987/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Водитель категории С,130000.0,160000.0,от 1 года,любое,"Евразия Карго Экспресс, ООО",Москва,"Выхино, Кузьминки, Марьино, Братиславская, Люблино, Волжская, Борисово, Алма-Атинская, Лермонтовский проспект, Жулебино, Котельники, Косино, Юго-Восточная , Печатники, Люблино, Депо, Перерва, Косино, Ухтомская, Люберцы,г Москва, ул Чагинская, д 6А стр 1",55.6628677,37.8040388,"['Выхино,', 'Кузьминки,', 'Марьино,', 'Братиславская,', 'Люблино,', 'Волжская,', 'Борисово,', 'Алма-Атинская,', 'Лермонтовский проспект,', 'Жулебино,', 'Котельники,', 'Косино,', 'Юго-Восточная ,', 'Печатники,', 'Люблино,', 'Депо,', 'Перерва,', 'Косино,', 'Ухтомская,', 'Люберцы']",https://www.rabota.ru/vacancy/50041148/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер по работе с ключевыми клиентами,150000.0,,от 3 лет,любое,Работа.ру,Москва,"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",55.7812415,37.5797846,['Белорусская'],https://www.rabota.ru/vacancy/48111305/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Менеджер по партнерским продажам,150000.0,,от 5 лет,любое,Работа.ру,Москва,"Белорусская,г Москва, ул 3-я Ямского Поля, д 9",55.7812415,37.5797846,['Белорусская'],https://www.rabota.ru/vacancy/48020350/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Оператор колл-центра на входящую линию (удаленно),30000.0,40000.0,без опыта,любое,Первый виртуальный оператор,Москва,г Воронеж,51.6605982,39.2005858,,https://www.rabota.ru/vacancy/48582426/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
"Главный эксперт по цифровым технологиям аудита (Data Engineer, Data Analyst)",,,от 1 года,любое,СБЕР,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256998/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Руководитель направления по внедрению системы консолидации отчетности Группы (владелец продукта),,,от 3 лет,любое,СБЕР,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256996/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Middle Java разработчик,,,от 3 лет,любое,СберСтрахование,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256943/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Старший лаборант ОТК,65000.0,,от 1 года,среднее,"JCat, сервис размещения объявлений",Москва,"Бунинская аллея,Москва",55.625578,37.6063916,['Бунинская аллея'],https://www.rabota.ru/vacancy/54256594/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Управляющий магазином (м. Римская),,154866.0,без опыта,любое,"ДИКСИ Юг, АО",Москва,"Римская, Площадь Ильича, Москва Товарная,г Москва, ул Нижегородская, д 9Г, кв 1",55.7383902,37.6820504,"['Римская,', 'Площадь Ильича,', 'Москва Товарная']",https://www.rabota.ru/vacancy/53920969/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Заместитель управляющего магазином (м. Римская),74841.0,106274.0,от 1 года,любое,"ДИКСИ Юг, АО",Москва,"Римская,г Москва, ул Сергия Радонежского, д 2",55.7463799,37.6712439,['Римская'],https://www.rabota.ru/vacancy/53827079/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер маникюра-педикюра,90000.0,150000.0,без опыта,среднее,"JCat, сервис размещения объявлений",Москва,"Охотный ряд,Москва",55.625578,37.6063916,['Охотный ряд'],https://www.rabota.ru/vacancy/54256961/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Грузчик,45000.0,55000.0,без опыта,любое,Трезвый грузчик,Москва,"Площадь Революции,г Москва",55.625578,37.6063916,['Площадь Революции'],https://www.rabota.ru/vacancy/54256626/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Монтажник грузопассажирского подъемника,130000.0,,без опыта,среднее,"JCat, сервис размещения объявлений",Москва,"Деловой центр,Москва, Краснопресненская набережная, 14",55.7499955,37.5447846,['Деловой центр'],https://www.rabota.ru/vacancy/54256596/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Су-шеф,105000.0,115000.0,от 1 года,любое,Тануки,Москва,"Краснопресненская, Баррикадная, Улица 1905 года,Россия, г. Москва, м. улица 1905 года/м. Краснопресненская, ул. Красная Пресня, д. 26с2",55.625578,37.6063916,"['Краснопресненская,', 'Баррикадная,', 'Улица 1905 года']",https://www.rabota.ru/vacancy/54256295/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер ногтевого сервиса,90000.0,240000.0,от 3 лет,любое,Jobers,Москва,"Новые Черемушки,г Москва, Гарибальди, 36",55.6685647,37.559547,['Новые Черемушки'],https://www.rabota.ru/vacancy/54256221/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Заместитель управляющего магазином (м. Римская),74841.0,106274.0,от 1 года,любое,"ДИКСИ Юг, АО",Москва,"Римская,г Москва, ул Нижегородская, д 9г, кв 1",55.7383902,37.6820504,['Римская'],https://www.rabota.ru/vacancy/53827065/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Машинист машины по чистке и смазке листов,50800.0,66200.0,без опыта,любое,Кондитерско-булочный комбинат Черемушки,Москва,"Молодежная, Сетунь,г Москва, ул Академика Павлова, д 4 стр 3",55.7374729,37.3932991,"['Молодежная,', 'Сетунь']",https://www.rabota.ru/vacancy/49023884/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Middle Data Science (Транзакционный банкинг B2C),,,от 1 года,любое,СБЕР,Москва,"Центральный федеральный округ,Москва",55.625578,37.6063916,,https://www.rabota.ru/vacancy/54256667/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Мастер маникюра,85000.0,120000.0,без опыта,любое,Jobers,Москва,"Воронцовская,г Москва, Обручева, 5",55.6543385,37.5134103,['Воронцовская'],https://www.rabota.ru/vacancy/54256403/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Бармен в рестоарн,100000.0,120000.0,без опыта,любое,Тануки,Москва,"Волоколамская, Митино, Пятницкое Шоссе,Россия, г. Москва, м.Пятницкое ш, Митинская, 50",55.625578,37.6063916,"['Волоколамская,', 'Митино,', 'Пятницкое Шоссе']",https://www.rabota.ru/vacancy/54256284/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
Помощник менеджера касс,69300.0,76000.0,без опыта,любое,Ашан (сеть гипермаркетов),Москва,"Домодедовская,г Москва, Каширское шоссе, д 61Г",55.6208703,37.714131,['Домодедовская'],https://www.rabota.ru/vacancy/54256259/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B5,rabota.ru
