Название вакансии,Минимальная зарплата,Максимальная зарплата,Опыт работы,Образование,Компания,Город,Адрес,Широта,Долгота,Метро,Ссылка,Источник
Оператор интернет-заказов,70000.0,90000.0,без опыта,любое,Артемьев Владислав Олегович,Санкт-Петербург,"Невский проспект,г Санкт-Петербург, Невский пр-кт, д 27",59.9351403,30.3267244,['Невский проспект'],https://spb.rabota.ru/vacancy/54210542/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
"Сторож, охранник",30000.0,45000.0,без опыта,любое,ООО ОП АОП,Санкт-Петербург,"Московские ворота, Электросила,г Санкт-Петербург, ул Цветочная, д 16 литера а",59.8874083,30.3333357,"['Московские ворота,', 'Электросила']",https://spb.rabota.ru/vacancy/49313320/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Руководитель отдела логистики,120000.0,,от 5 лет,среднее,Эй би логистик,Санкт-Петербург,"Горьковская,г Санкт-Петербург, ул Чапаева, д 17 к 2 стр 1",59.9623877,30.3314971,['Горьковская'],https://spb.rabota.ru/vacancy/54256981/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Повар-универсал в кафе,45000.0,90000.0,от 5 лет,любое,"ООО ""ОРИОН""",Санкт-Петербург,"Автово,г Санкт-Петербург, ул Кронштадтская, д 24",59.867468,30.2580305,['Автово'],https://spb.rabota.ru/vacancy/54256409/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Повар ГЦ в ресторан,70000.0,80500.0,от 1 года,любое,"ООО ""БС ""АКТИВ""",Санкт-Петербург,"Московская,г Санкт-Петербург, метро Московская",59.8514032,30.3223819,['Московская'],https://spb.rabota.ru/vacancy/54256263/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Парикмахер,80000.0,,от 5 лет,среднее,ALPEN BEAUTY,Санкт-Петербург,"Озерки, Удельная,г Санкт-Петербург, пр-кт Энгельса, д 93 литера А",60.0248868,30.3217882,"['Озерки,', 'Удельная']",https://spb.rabota.ru/vacancy/54229718/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Инженер-испытатель/лаборант-испытатель,80000.0,,без опыта,среднее профессиональное,"ООО ""ПОЛИМЕРТЕСТ""",Санкт-Петербург,"Ладожская,г Санкт-Петербург, ул Коммуны, д 67 литера АЕ",59.9679923,30.48625,['Ладожская'],https://spb.rabota.ru/vacancy/54219726/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Кладовщик (газоснабжение),70000.0,75000.0,до года,любое,Либерстрой,Санкт-Петербург,"Пролетарская,г Санкт-Петербург, Октябрьская наб, д 104 к 5 стр 1",59.8725435,30.4885097,['Пролетарская'],https://spb.rabota.ru/vacancy/53849710/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Медицинская сестра,,,от 1 года,среднее профессиональное,"ООО ""МЦ АРИСТОМЕД""",Санкт-Петербург,г Санкт-Петербург,59.9606739,30.1586551,,https://spb.rabota.ru/vacancy/53796752/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Ассистент стоматолога,,,от 1 года,среднее профессиональное,ООО Студия Авторской Стоматологии,Санкт-Петербург,"Лесная,г Санкт-Петербург, ул Александра Матросова, д 20 к 2",59.9835473,30.3470101,['Лесная'],https://spb.rabota.ru/vacancy/53767232/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Сотрудник кухни/барбек,60000.0,80000.0,без опыта,любое,"ООО ""МЭЙБИ""",Санкт-Петербург,"Горьковская, Чкаловская,г Санкт-Петербург, ул Воскова, д 5",59.9574359,30.3044715,"['Горьковская,', 'Чкаловская']",https://spb.rabota.ru/vacancy/53753635/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Швея,55000.0,,от 1 года,любое,"ООО ""ДЖИ ТИ ЮНИОН""",Санкт-Петербург,"Нарвская,г Санкт-Петербург, наб Обводного канала, д 148 к 2 литера А, офис 406",59.9081006,30.2707901,['Нарвская'],https://spb.rabota.ru/vacancy/53361789/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Монтажник охранно-пожарной сигнализации,,,от 1 года,любое,"ООО ""МЕГАРЕМСЕРВИС""",Санкт-Петербург,"Адмиралтейская,г Санкт-Петербург",59.9606739,30.1586551,['Адмиралтейская'],https://spb.rabota.ru/vacancy/53268246/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Консультант-продавец,50000.0,100000.0,от 1 года,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ САЛИМОВ НУРЛАН НАМИЗАД ОГЛЫ,Санкт-Петербург,"Ладожская,г Санкт-Петербург, Красногвардейский р-н",59.9782843,30.4865836,['Ладожская'],https://spb.rabota.ru/vacancy/53001924/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Мастер по ремонту ноутбуков и телефонов,80000.0,,от 3 лет,любое,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ КАЛАЧЕВ АЛЕКСАНДР СЕРГЕЕВИЧ,Санкт-Петербург,"г Санкт-Петербург, ул Большая Московская, д 14/1",59.9278902,30.3474699,,https://spb.rabota.ru/vacancy/51934590/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
Повар,50000.0,,без опыта,любое,ИП БУРДЖАНАДЗЕ НАТАЛЬЯ ВАЛЕРЬЯНОВНА,Санкт-Петербург,"Пролетарская,г Санкт-Петербург, ул Шелгунова, д 3",59.8675485,30.4604996,['Пролетарская'],https://spb.rabota.ru/vacancy/50343977/?methodRecommendationType=by_filter&methodRecommendationName=%D0%92%D0%B0%D0%BA%D0%B0%D0%BD%D1%81%D0%B8%D0%B8%20%D0%B2%20%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5,rabota.ru
