id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка,Средняя зарплата
51729002,Инженер-электроник,60000,60000,rub,"['IT, Интернет, связь, телеком', 'Промышленность, производство']","['Инжиниринг', 'Радиотехническая и электронная промышленность']",Санкт-Петербург,['Электросила'],['Московско-Петроградская'],['blue'],"Санкт-Петербург, улица Решетникова, 15",4124847,менее 50,16.0,"ФБГУ ""29 КТЦ"" Минобороны России",От 3 лет,Полный рабочий день,Не имеет значения,59.878799,30.329782,https://spb.superjob.ru/vakansii/inzhener-elektronik-51729002.html,60000.0
51757761,Главный специалист по информационным ресурсам отдела эксплуатации информационной инфраструктуры,81800,105200,rub,"['Административная работа, секретариат, АХО', 'IT, Интернет, связь, телеком']","['Делопроизводство', 'Другое']",Санкт-Петербург,['Площадь Александра Невского 1'],['Невско-Василеостровская'],['green'],"Санкт-Петербург, Исполкомская, 16",4859700,1000 — 5000,27.0,"СПб ГКУ ""Организатор перевозок""",От 3 лет,Полный рабочий день,Высшее,59.929375,30.382118,https://spb.superjob.ru/vakansii/glavnyj-specialist-po-informacionnym-resursam-otdela-ekspluatacii-informacionnoj-infrastruktury-51757761.html,93500.0
51781506,Продавец магазина Магнит,63200,90500,rub,"['Дизайн', 'IT, Интернет, связь, телеком']","['Web-дизайн (UI/UX)', 'Web-верстка']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Заневский, 35",280168,более 5000,18163.0,"Магнит, Розничная сеть",Не имеет значения,Полный рабочий день,Не имеет значения,59.92971,30.420118,https://spb.superjob.ru/vakansii/prodavec-magazina-magnit-51781506.html,76850.0
51789482,Ведущий специалист по защите информации,20000,20000,rub,"['Безопасность, службы охраны', 'IT, Интернет, связь, телеком']","['Информационная безопасность', 'Информационная безопасность']",Санкт-Петербург,['Петроградская'],['Московско-Петроградская'],['blue'],"Санкт-Петербург, улица Профессора Попова, 2",4809124,100 — 500,2.0,Федеральное государственное бюджетное учреждение науки Ботанический институт им. В. Л. Комарова Российской академии наук,От 1 года,Частичная занятость / Совместительство,Не имеет значения,59.968796,30.319927,https://spb.superjob.ru/vakansii/veduschij-specialist-po-zaschite-informacii-51789482.html,20000.0
51801607,Контент-менеджер,63000,75000,rub,"['IT, Интернет, связь, телеком']",['Контент'],Санкт-Петербург,[],[],[],"Санкт-Петербург, Университетская набережная, 7-9-11",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 1 года,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/kontent-menedzher-51801607.html,69000.0
51824617,"Специалист по продажам В2В (ПО с искусственным интеллектом, без поиска)",75000,115000,rub,"['IT, Интернет, связь, телеком']","['Интернет, создание и поддержка сайтов', 'Нейросети / Искусственный интеллект', 'AI']",Санкт-Петербург,[],[],[],"Санкт-Петербург, набережная реки Смоленки, 14",3316052,менее 50,1.0,"СЗРЦ ""Гарант Интернэшнл""",Без опыта,Полный рабочий день,Не имеет значения,59.94799,30.268051,https://spb.superjob.ru/vakansii/specialist-po-prodazham-v2v-51824617.html,95000.0
51844028,Продавец-консультант в ТЦ Мурино,55000,83000,rub,"['Дизайн', 'IT, Интернет, связь, телеком']","['Web-дизайн (UI/UX)', 'Web-верстка']",Санкт-Петербург,"['Академическая', 'Гражданский Проспект', 'Девяткино']","['Кировско-Выборгская', 'Кировско-Выборгская', 'Кировско-Выборгская']","['red', 'red', 'red']","Ленинградская область, Всеволожский район, Мурино, Тихая улица, 13",100593,более 5000,289.0,"Группа ""М. Видео-Эльдорадо""",Без опыта,Полный рабочий день,Не имеет значения,60.049198,30.444614,https://spb.superjob.ru/vakansii/prodavec-konsultant-v-tc-murino-51844028.html,69000.0
51846962,Продавец-кассир,90000,120000,rub,"['IT, Интернет, связь, телеком']","['DevOps', 'Управление разработкой']",Санкт-Петербург,['Лиговский проспект'],['Правобережная'],['yellow'],,38260,более 5000,779.0,Билайн,Не имеет значения,Полный рабочий день,Среднее специальное,,,https://spb.superjob.ru/vakansii/prodavec-kassir-51846962.html,105000.0
51849797,Системный администратор,60000,70000,rub,"['IT, Интернет, связь, телеком']",['Системное администрирование'],Санкт-Петербург,[],[],[],"Санкт-Петербург, Манчестерская улица, 8к1",4891649,менее 50,1.0,СПБ ГБ ПОУ «Колледж Петербургской моды»,Без опыта,Полный рабочий день,Не имеет значения,60.012016,30.330313,https://spb.superjob.ru/vakansii/sistemnyj-administrator-51849797.html,65000.0
51860678,Начинающий специалист IT-отдела/Системный администратор,60000,100000,rub,"['IT, Интернет, связь, телеком']","['Инжиниринг', 'Техническая поддержка', 'Другое', 'Начало карьеры, мало опыта']",Санкт-Петербург,[],[],[],"Санкт-Петербург, улица Константина Заслонова, 32-34",1977505,менее 50,1.0,ТЕЛЛУР-ИНТЕХ,Без опыта,Полный рабочий день,Не имеет значения,59.917313,30.343798,https://spb.superjob.ru/vakansii/nachinayuschij-specialist-it-otdela-51860678.html,80000.0
51673630,Ведущий программист,120000,140000,rub,"['IT, Интернет, связь, телеком']","['Разработка, программирование', 'Системная интеграция', 'Системное администрирование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,[],[],[],"Санкт-Петербург, набережная канала Грибоедова, 30-32",4763170,1000 — 5000,29.0,СПбГЭУ,От 1 года,Полный рабочий день,Не имеет значения,59.931915,30.32593,https://spb.superjob.ru/vakansii/veduschij-programmist-51673630.html,130000.0
51789598,Программист,65000,70000,rub,"['IT, Интернет, связь, телеком']","['Игровое ПО / Геймдев', 'Интернет, создание и поддержка сайтов', 'Разработка и сопровождение банковского ПО', 'Разработка, программирование', 'Внедрение и сопровождение ПО']",Санкт-Петербург,['Балтийская'],['Кировско-Выборгская'],['red'],"Санкт-Петербург, улица Шкапина, д.30",298376,100 — 500,5.0,СПб ГБУЗ МИАЦ,От 1 года,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/programmist-51789598.html,67500.0
51810312,Специалист службы поддержки (немецкий),120000,250000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,[],[],[],,3797376,менее 50,337.0,JOBCART.RU,Без опыта,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/specialist-sluzhby-podderzhki-51810312.html,185000.0
51551532,Ведущий системный администратор,96000,96000,rub,"['IT, Интернет, связь, телеком']","['Системное администрирование', 'Техническая поддержка']",Санкт-Петербург,"['Невский Проспект', 'Василеостровская', 'Спортивная']","['Московско-Петроградская', 'Невско-Василеостровская', 'Фрунзенско-Приморская']","['blue', 'green', 'violet']","Санкт-Петербург, Университетская набережная, 13Е",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 3 лет,Полный рабочий день,Не имеет значения,59.940483,30.296806,https://spb.superjob.ru/vakansii/veduschij-sistemnyj-administrator-51551532.html,96000.0
50716983,Инженер в службу технической поддержки Отдел 8,70000,80000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,[],[],[],"Санкт-Петербург, переулок Каховского, 9",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 1 года,Полный рабочий день,Среднее специальное,59.952282,30.23547,https://spb.superjob.ru/vakansii/inzhener-v-sluzhbu-tehnicheskoj-podderzhki-otdel-8-50716983.html,75000.0
51642917,Ведущий специалист Службы технической поддержки Отдела 6,70000,75000,rub,"['IT, Интернет, связь, телеком', 'Закупки, снабжение']","['Системное администрирование', 'Компьютеры, оргтехника, ПО']",Санкт-Петербург,"['Приморская', 'Василеостровская', 'Спортивная', 'Горный институт']","['Невско-Василеостровская', 'Невско-Василеостровская', 'Фрунзенско-Приморская', 'Правобережная']","['green', 'green', 'violet', 'yellow']","Санкт-Петербург, 10-я линия Васильевского острова, 31-33",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,Без опыта,Полный рабочий день,Неполное высшее,59.942734,30.272739,https://spb.superjob.ru/vakansii/veduschij-specialist-sluzhby-tehnicheskoj-podderzhki-otdela-6-51642917.html,72500.0
51109803,"Специалист технической поддержки 0,5 ставки",30000,35000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,[],[],[],"Санкт-Петербург, Петергоф, Университетский проспект, 28",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 1 года,Полный рабочий день,Высшее,59.879192,29.830248,https://spb.superjob.ru/vakansii/specialist-tehnicheskoj-podderzhki-0-51109803.html,32500.0
51205935,Специалист Отдела мультимедийных сервисов Службы технической поддержки,70000,80000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,[],[],[],"Санкт-Петербург, Университетская набережная, 7-9-11В",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 1 года,Полный рабочий день,Высшее,59.939781,30.299456,https://spb.superjob.ru/vakansii/specialist-otdela-multimedijnyh-servisov-sluzhby-tehnicheskoj-podderzhki-51205935.html,75000.0
51705962,Специалист Отдела технической поддержки Отдела 2,65000,70000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,"['Невский Проспект', 'Василеостровская', 'Спортивная', 'Адмиралтейская']","['Московско-Петроградская', 'Невско-Василеостровская', 'Фрунзенско-Приморская', 'Фрунзенско-Приморская']","['blue', 'green', 'violet', 'violet']","Санкт-Петербург, Университетская набережная, 7-9-11В",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 1 года,Полный рабочий день,Среднее специальное,59.939781,30.299456,https://spb.superjob.ru/vakansii/specialist-otdela-tehnicheskoj-podderzhki-otdela-2-51705962.html,67500.0
51292846,Специалист серверной безопасности Управления по информационной защите и кибербезопасности,120000,160000,rub,"['Безопасность, службы охраны', 'IT, Интернет, связь, телеком']","['Информационная безопасность', 'Информационная безопасность']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Университетская набережная, 7-9-11В",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 3 лет,Полный рабочий день,Не имеет значения,59.939781,30.299456,https://spb.superjob.ru/vakansii/specialist-servernoj-bezopasnosti-upravleniya-po-informacionnoj-zaschite-i-kiberbezopasnosti-51292846.html,140000.0
51292827,Специалист по endpoint-безопасности Управления по информационной защите и кибербезопасности,120000,150000,rub,"['Безопасность, службы охраны', 'IT, Интернет, связь, телеком']","['Информационная безопасность', 'Информационная безопасность']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Университетская набережная, 7-9-11В",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,От 3 лет,Полный рабочий день,Не имеет значения,59.939781,30.299456,https://spb.superjob.ru/vakansii/specialist-po-endpoint-bezopasnosti-upravleniya-po-informacionnoj-zaschite-i-kiberbezopasnosti-51292827.html,135000.0
51756354,Главный специалист отдела развития информационной системы АСУ ГППТ,81800,105200,rub,"['IT, Интернет, связь, телеком']",['Инжиниринг'],Санкт-Петербург,"['Электросила', 'Московские Ворота']","['Московско-Петроградская', 'Московско-Петроградская']","['blue', 'blue']","Санкт-Петербург, Цветочная улица, 7Ж",4859700,1000 — 5000,27.0,"СПб ГКУ ""Организатор перевозок""",От 1 года,Полный рабочий день,Высшее,59.889992,30.329172,https://spb.superjob.ru/vakansii/glavnyj-specialist-otdela-razvitiya-informacionnoj-sistemy-asu-gppt-51756354.html,93500.0
51757248,Главный специалист по информационной безопасности,82000,110000,rub,"['Безопасность, службы охраны', 'IT, Интернет, связь, телеком']","['Информационная безопасность', 'Информационная безопасность']",Санкт-Петербург,['Площадь Александра Невского 1'],['Невско-Василеостровская'],['green'],"Санкт-Петербург, Исполкомская улица, 16",4859700,1000 — 5000,27.0,"СПб ГКУ ""Организатор перевозок""",От 3 лет,Полный рабочий день,Высшее,59.929375,30.382118,https://spb.superjob.ru/vakansii/glavnyj-specialist-po-informacionnoj-bezopasnosti-51757248.html,96000.0
51757866,Ведущий специалист отдела содержания информационного оборудования,71500,99900,rub,"['Административная работа, секретариат, АХО', 'IT, Интернет, связь, телеком']","['Делопроизводство', 'Другое']",Санкт-Петербург,"['Электросила', 'Московские Ворота', 'Фрунзенская']","['Московско-Петроградская', 'Московско-Петроградская', 'Московско-Петроградская']","['blue', 'blue', 'blue']","Санкт-Петербург, Цветочная улица, 7Ж",4859700,1000 — 5000,27.0,"СПб ГКУ ""Организатор перевозок""",От 1 года,Полный рабочий день,Не имеет значения,59.889992,30.329172,https://spb.superjob.ru/vakansii/veduschij-specialist-otdela-soderzhaniya-informacionnogo-oborudovaniya-51757866.html,85700.0
51801400,Специалист Отдел технической поддержки Отдела 6,65000,75000,rub,"['IT, Интернет, связь, телеком']",['Техническая поддержка'],Санкт-Петербург,[],[],[],"Санкт-Петербург, 10-я линия Васильевского острова, 31-33",291920,более 5000,154.0,ФГБОУ ВО Санкт-Петербургский государственный университет,Без опыта,Полный рабочий день,Не имеет значения,59.942734,30.272739,https://spb.superjob.ru/vakansii/specialist-otdel-tehnicheskoj-podderzhki-otdela-6-51801400.html,70000.0
51835970,Программист 1С,70000,80000,rub,"['IT, Интернет, связь, телеком']","['Разработка, программирование', 'Системы управления предприятием (ERP)', 'Внедрение и сопровождение ПО']",Санкт-Петербург,['Пролетарская'],['Невско-Василеостровская'],['green'],"Санкт-Петербург, проспект Обуховской Обороны, 114",267938,50 — 100,1372.0,АНО ВО Санкт-Петербургская юридическая академия,От 1 года,Полный рабочий день,Не имеет значения,59.865883,30.470747,https://spb.superjob.ru/vakansii/programmist-1s-51835970.html,75000.0
50030362,Менеджер-консультант,70000,80000,rub,"['Страхование', 'Банки, инвестиции, лизинг', 'Продажи']","['Страхование физических лиц', 'Продажа банковских продуктов', 'Услуги для бизнеса']",Санкт-Петербург,['Проспект Большевиков'],['Правобережная'],['yellow'],"Санкт-Петербург, улица Коллонтай",6545,50 — 100,4.0,МЕДИ РУС,От 1 года,Сменный график работы,Не имеет значения,59.919586,30.47019,https://spb.superjob.ru/vakansii/menedzher-konsultant-50030362.html,75000.0
48273215,Старший продавец-кассир,77700,109600,rub,"['Банки, инвестиции, лизинг']","['Методология, разработка и продажа розничных продуктов']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Науки, 21",2635306,более 5000,49868.0,Пятёрочка,От 1 года,Полный рабочий день,Не имеет значения,60.010986,30.40048,https://spb.superjob.ru/vakansii/starshij-prodavec-kassir-48273215.html,93650.0
51867527,Менеджер по работе с корпоративными клиентами,150000,150000,rub,"['Банки, инвестиции, лизинг', 'Продажи']","['Продажа банковских продуктов', 'Бытовая техника, электроника, фото, видео', 'Канцелярские товары', 'Косметика, бытовая химия', 'Услуги для бизнеса']",Санкт-Петербург,"['Обухово', 'Пролетарская', 'Ломоносовская', 'Дунайская']","['Невско-Василеостровская', 'Невско-Василеостровская', 'Невско-Василеостровская', 'Фрунзенско-Приморская']","['green', 'green', 'green', 'violet']","Санкт-Петербург, проспект Александровской Фермы, 29Е",196244,более 5000,28.0,Металл Профиль,От 1 года,Полный рабочий день,Не имеет значения,59.854202,30.444561,https://spb.superjob.ru/vakansii/menedzher-po-rabote-s-korporativnymi-klientami-51867527.html,150000.0
51794532,Ведущий экономист,86000,95000,rub,"['Бухгалтерия, финансы, аудит', 'Банки, инвестиции, лизинг']","['Бухгалтерский учет', 'Планово-экономическое управление', 'Экономический анализ', 'Финансовый анализ и контроль']",Санкт-Петербург,[],[],[],,4763170,1000 — 5000,29.0,СПбГЭУ,От 3 лет,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/veduschij-ekonomist-51794532.html,90500.0
51673620,Ведущий специалист по учету и отчетности,40000,45000,rub,"['Административная работа, секретариат, АХО', 'Бухгалтерия, финансы, аудит', 'Кадры, управление персоналом', 'Транспорт, логистика, ВЭД', 'Банки, инвестиции, лизинг']","['Делопроизводство', 'Первичная документация', 'Кадровый учет, делопроизводство, кадровое администрирование', 'Складское хозяйство', 'Финансовая отчётность']",Санкт-Петербург,[],[],[],"Санкт-Петербург, набережная канала Грибоедова, 30-32",4763170,1000 — 5000,29.0,СПбГЭУ,От 3 лет,Полный рабочий день,Не имеет значения,59.931915,30.32593,https://spb.superjob.ru/vakansii/veduschij-specialist-po-uchetu-i-otchetnosti-51673620.html,42500.0
51869757,Менеджер коммерческого отдела,65000,65000,rub,"['Банки, инвестиции, лизинг', 'Продажи']","['Продажа банковских продуктов', 'Услуги для бизнеса']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Предпортовая улица, 8",378505,50 — 100,11.0,ПОСЫЛТОРГ,От 1 года,Полный рабочий день,Не имеет значения,59.832737,30.302681,https://spb.superjob.ru/vakansii/menedzher-kommercheskogo-otdela-51869757.html,65000.0
50567258,Пекарь,75600,96800,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Новочеркасский, 52",2635306,более 5000,49868.0,Пятёрочка,Не имеет значения,Частичная занятость / Совместительство,Не имеет значения,59.923035,30.420172,https://spb.superjob.ru/vakansii/pekar-50567258.html,86200.0
51672766,Старший машинист насосных установок 5 разряда ТЭЦ-14,78648,78648,rub,"['Промышленность, производство', 'Рабочий персонал']","['Металлургия', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Санкт-Петербург,"['Автово', 'Кировский завод']","['Кировско-Выборгская', 'Кировско-Выборгская']","['red', 'red']","Санкт-Петербург, Корабельная улица, 4с4",289082,более 5000,60.0,Территориальная генерирующая компания №1,От 1 года,Полный рабочий день,Не имеет значения,59.86879,30.242151,https://spb.superjob.ru/vakansii/starshij-mashinist-nasosnyh-ustanovok-5-razryada-tec-14-51672766.html,78648.0
51680382,Главный специалист (в области организации и контроля работ в электроустановках учреждения),90000,100000,rub,"['Строительство, проектирование, недвижимость', 'Промышленность, производство']","['Электроснабжение', 'Энергетика']",Санкт-Петербург,['Московская'],['Московско-Петроградская'],['blue'],"Санкт-Петербург, 5-й Предпортовый проезд, 4к3",627236,500 — 1000,0.0,"СПб ГКУ ""Городской мониторинговый центр""",От 3 лет,Полный рабочий день,Высшее,59.839256,30.31488,https://spb.superjob.ru/vakansii/glavnyj-specialist-51680382.html,95000.0
51866827,Инженер отделения материально-технического обеспечения и эксплуатации (теплоэнергетик),65000,70000,rub,"['Административная работа, секретариат, АХО', 'Промышленность, производство', 'Закупки, снабжение']","['АХО', 'Другое', 'Другое']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Инженерная улица, 13",4899694,более 5000,2.0,ЦСКА,Без опыта,Полный рабочий день,Не имеет значения,59.937698,30.340401,https://spb.superjob.ru/vakansii/inzhener-otdeleniya-materialno-tehnicheskogo-obespecheniya-i-ekspluatacii-51866827.html,67500.0
51784048,Пекарь,70900,75300,rub,"['Туризм, гостиницы, общественное питание', 'Промышленность, производство']","['Рестораны, кафе, столовые, фастфуд', 'Пищевая промышленность']",Санкт-Петербург,[],[],[],"Санкт-Петербург, Ефимова, 2",4311,более 5000,3349.0,Перекресток,Без опыта,Полный рабочий день,Среднее специальное,59.926422,30.320988,https://spb.superjob.ru/vakansii/pekar-51784048.html,73100.0
26643894,Технический специалист по сертификации/Макетчик,85000,110000,rub,"['Промышленность, производство']","['Контроль качества, сертификация, экспертиза']",Санкт-Петербург,['Гражданский Проспект'],['Кировско-Выборгская'],['red'],"Санкт-Петербург, Гражданский проспект, 111",2422535,менее 50,1.0,ЭКСПЕРТКОНСАЛТГРУПП,Без опыта,Полный рабочий день,Высшее,60.029778,30.41622,https://spb.superjob.ru/vakansii/tehnicheskij-specialist-po-sertifikacii-26643894.html,97500.0
