id,Название вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Категория,Детальные категории,Город,Метро,Линия метро,Цвет линии метро,Адрес,Id компании,Индуcтрия,Кол-во персонала в компании,Кол-во размещенных вакансий,Название компании,Опыт,График работы,Образование,Широта,Долгота,ссылка
51757986,Наладчик оборудования,92000,0,rub,"['Промышленность, производство', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Промышленное оборудование', 'Промышленное оборудование', 'Квалифицированный рабочий']",Кировск (Ленинградская обл.),[],[],[],"Ленинградская область, Кировский район, городской посёлок Приладожский",666117,,1000 — 5000,80.0,Птицефабрика Синявинская,От 1 года,Сменный график работы,Не имеет значения,59.876392,31.32819,https://kirovsk-spb.superjob.ru/vakansii/naladchik-oborudovaniya-51757986.html
51649391,Сервисный инженер,64000,72000,rub,"['Услуги, ремонт, сервисное обслуживание', 'Строительство, проектирование, недвижимость']","['Телекоммуникационное оборудование и сети', 'Слаботочные системы и сети']",Большие Кайбицы,[],[],[],"Кайбицкий район, село Большие Кайбицы, Солнечный бульвар, 11",4243646,,более 5000,1.0,Таттелеком,Без опыта,Полный рабочий день,Высшее,,,https://bolshie-kaybitsy.superjob.ru/vakansii/servisnyj-inzhener-51649391.html
51773202,Мастер по ремонту контрольно-измерительных приборов и автоматики,0,0,rub,"['Услуги, ремонт, сервисное обслуживание']","['Автосервис', 'Металлоремонт', 'Телекоммуникационное оборудование и сети', 'Торговое, складское, холодильное оборудование', 'Бытовая техника']",Владивосток,[],[],[],,874575,,1000 — 5000,8229.0,ГК Русагро,От 1 года,Полный рабочий день,Не имеет значения,,,https://vladivostok.superjob.ru/vakansii/master-po-remontu-kontrolno-izmeritelnyh-priborov-i-avtomatiki-51773202.html
51780762,Мастер по ремонту оборудования,0,78600,rub,"['Промышленность, производство', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Промышленное оборудование', 'Промышленное оборудование', 'Квалифицированный рабочий']",Ярославль,[],[],[],"Ярославль, проспект Октября, 83",3842962,,менее 50,0.0,ТГК-2,От 3 лет,Полный рабочий день,Высшее,57.651409,39.840595,https://yaroslavl.superjob.ru/vakansii/master-po-remontu-oborudovaniya-51780762.html
51792329,Мойщик-уборщик подвижного состава,0,65000,rub,"['Туризм, гостиницы, общественное питание', 'Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Рестораны, кафе, столовые, фастфуд', 'Клининг', 'Рабочий персонал, разное']",Санкт-Петербург,"['Площадь Ленина', 'Выборгская', 'Горьковская', 'Петроградская']","['Кировско-Выборгская', 'Кировско-Выборгская', 'Московско-Петроградская', 'Московско-Петроградская']","['red', 'red', 'blue', 'blue']","Санкт-Петербург, Большая Посадская улица, 24/2Д",441150,,более 5000,126.0,"СПб ГУП ""Горэлектротранс""",Без опыта,Полный рабочий день,Не имеет значения,59.960075,30.325993,https://spb.superjob.ru/vakansii/mojschik-uborschik-podvizhnogo-sostava-51792329.html
51799254,Электромонтер по ремонту и обслуживанию электрооборудования (Юго-Запад),0,124900,rub,"['Услуги, ремонт, сервисное обслуживание']","['Телекоммуникационное оборудование и сети', 'Промышленное оборудование']",Москва,['Калужская'],['Калужско-Рижская'],['orange'],"Москва, улица Введенского, 1А",4019802,,более 5000,44.0,Объединенная энергетическая компания,От 1 года,Полный рабочий день,Не имеет значения,55.648281,37.549778,https://www.superjob.ru/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-51799254.html
51825516,Слесарь ремонтник,0,86815,rub,"['Услуги, ремонт, сервисное обслуживание', 'Рабочий персонал']","['Промышленное оборудование', 'Рабочий персонал, разное', 'Квалифицированный рабочий']",Обнинск,[],[],[],"Калужская область, Обнинск, улица Менделеева, 14",47545,,более 5000,0.0,Группа Компаний ПИК,От 3 лет,Полный рабочий день,Не имеет значения,55.086224,36.589584,https://obninsk.superjob.ru/vakansii/slesar-remontnik-51825516.html
51827364,Уборщик служебных помещений,0,35000,rub,"['Услуги, ремонт, сервисное обслуживание']",['Клининг'],Санкт-Петербург,[],[],[],"10-я линия В. О., д. 55, лит. А",4894541,,50 — 100,8.0,ГБУ ДПО ЦОПП СПб,Без опыта,Полный рабочий день,Не имеет значения,,,https://spb.superjob.ru/vakansii/uborschik-sluzhebnyh-pomeschenij-51827364.html
51830602,Уборщик служебных помещений/специалист по комплексному обслуживанию территории,100000,0,rub,"['Услуги, ремонт, сервисное обслуживание']",['Клининг'],"Раздоры (Московская об., Одинцовский р.)",[],[],[],,4923283,,менее 50,1.0,Парцель Сервис,От 1 года,Полный рабочий день,Не имеет значения,,,https://www.superjob.ru/vakansii/uborschik-sluzhebnyh-pomeschenij-51830602.html
51692608,Мастер по модульному ремонту техники (ТЦ Алимпик),65000,0,rub,"['Услуги, ремонт, сервисное обслуживание']","['Автосервис', 'Металлоремонт', 'Телекоммуникационное оборудование и сети', 'Торговое, складское, холодильное оборудование', 'Бытовая техника']",Астрахань,[],[],[],"Астрахань, Боевая улица, 25",100593,,более 5000,1143.0,"Группа ""М. Видео-Эльдорадо""",От 1 года,Сменный график работы,Не имеет значения,46.338295,48.023163,https://astrakhan.superjob.ru/vakansii/master-po-modulnomu-remontu-tehniki-51692608.html
